original,companyName,_id
Aldi,ALDI,6204f6d6d1029e9462b26c07
Meijer,Meijer,6204f6d7d1029e9462b26ea7
Sears,Sears,6204f6d8d1029e9462b26fbb
Wegmans,Wegmans,6204f6d8d1029e9462b2709b
Staples,"Staples, Inc.",6204f6dad1029e9462b278c7
Voyager,Voyager,6204f6ddd1029e9462b283ab
Conscious,EConscious,6204f6e1d1029e9462b28fff
Toast,Toast,6204f6e2d1029e9462b2948b
Audible,Audible,6204f6e4d1029e9462b29933
Zappos,Zappos,6204f6e4d1029e9462b29987
Optimum,Optimum,6204f6e4d1029e9462b2998b
Dairy Queen,Dairy Queen,6204f6e4d1029e9462b299eb
GEICO,GEICO,6204f6e4d1029e9462b299ff
Texaco,Texaco,6204f6e4d1029e9462b29aff
Disney+,Disney+,6204f6e4d1029e9462b29b37
3245364hulu,Hulu,6204f6e4d1029e9462b29b47
Hulu,Hulu,6204f6e4d1029e9462b29b47
Orbitz,Orbitz,6204f6e4d1029e9462b29b77
Google,Google,6204f6e4d1029e9462b29baf
Old Navy,Old Navy,6204f6e4d1029e9462b29bcf
Turbo Tax,TurboTax,6204f6e4d1029e9462b29cab
Coca-Cola,Coca-Cola,6204f6e5d1029e9462b29d97
City Market,City Market,6204f6e5d1029e9462b29de3
Ralphs,Ralph's,6204f6e5d1029e9462b29e07
Ticketmaster,Ticketmaster,6204f6e5d1029e9462b29e37
Delta,Delta,6204f6e5d1029e9462b29e9f
Braun,Braun,6204f6e5d1029e9462b29f8f
Venmo,Venmo,6204f6e5d1029e9462b2a037
Jcpenney,JCPenney,6204f6e5d1029e9462b2a0a7
JCPenney,JCPenney,6204f6e5d1029e9462b2a0a7
Marshalls,Marshalls,6204f6e6d1029e9462b2a173
HomeGoods,HomeGoods,6204f6e6d1029e9462b2a177
Vans,Vans,6204f6e6d1029e9462b2a1b7
Uber,UBER,6204f6e6d1029e9462b2a1df
Westelm,West Elm,6204f6e6d1029e9462b2a227
Potterybarn,Pottery Barn,6204f6e6d1029e9462b2a22f
Samsclub,Sam's Club,6204f6e6d1029e9462b2a233
Taco Bell,Taco Bell,6204f6e6d1029e9462b2a253
W/d Taco Bell,Taco Bell,6204f6e6d1029e9462b2a253
KFC,KFC,6204f6e6d1029e9462b2a26b
