userId,account_id,matched_transactions,total_transactions,percent_match,matched_amount,total_amount,percent_amount_matched,CO2_emissions,first,last
PTBO77Ueicg6M81qCtmDA,ZDvmzgd15DfKNAKrzx0EHexvxOYVngcRj7dDD,51.0,97.0,52.57731958762887,585.7400000000001,37854.26000000001,1.5473555684353621,5719.795181184483,2020-04-22,2021-12-08
U_PaPBjdLgkbAEDii3umE,ZOEdpVL0XQhvRmkbkKK7Hd0JB547wKURLwkXp,1.0,1.0,100.0,165.17,165.17,100.0,41.403527274,2020-04-23,2020-04-23
c6TvdI8tqgpn2xS-la00j,ZqKw54m40ytRq74a9x5gtbz0bnKdmMFRV4j0o,170.0,274.0,62.04379562043796,8119.61,13649.329999999998,59.487242230937355,7990.263907889819,2019-12-12,2021-12-01
x0yoFlxeAIf5bblL6m5M7,aK6Qgk5danukjzd661eDhgEJyxndVyF7Yy40m,22.0,98.0,22.448979591836736,3893.94,12269.560000000003,31.736590391179465,5349.062078952698,2019-12-12,2021-12-06
CI5TToGuQERMp7qEE40OH,aVxePMkKMXi5X13jMqMMcbnq8gjAabtZr9rdL,323.0,1252.0,25.798722044728432,30092.810000000023,130530.69000000019,23.054202808550215,55072.78165906788,2019-12-10,2021-12-08
Jfw9O8-iAYgJcwuqCvhfd,aZPNeP1PdVu4vAXKP1NoUPqx4KAVjgCZpzZMO,182.0,591.0,30.79526226734349,18166.34000000001,55506.31999999998,32.728417232488155,49873.1947425392,2019-12-11,2021-12-08
qZ9bzZ8XQQGOo-27pZ_Ht,bxJ4KBAZzKF7My9PqZA8C16DrVyEgLtqOgjZN,290.0,638.0,45.45454545454545,14908.630000000003,29856.959999999995,49.93351633923884,19468.00754405829,2021-07-21,2021-12-09
I3DtAT6IXzPmu6kBrxuX1,d1B4JBEZwBT65jmoDjmgc0L119zNZAtKMEkZV,2.0,29.0,6.896551724137931,20.990000000000002,1683.2,1.2470294676806084,688.7344460847302,2020-10-23,2021-11-26
gHc1ixzujPSLNNJtyJKRk,dR1o5B8LeESQnJR4krq3HzRmezpAb1FKPVrJ6,50.0,161.0,31.05590062111801,1534.8900000000003,5634.809999999999,27.2394277713002,4971.887975149963,2021-05-31,2021-12-06
b0pmvfT4xqu1AueWVIzXR,dbYgZjJbb6UpLzyxzNpEsYQwKAxe6gSb1KEDw,112.0,242.0,46.28099173553719,4039.499999999997,15012.13,26.908240203089086,6413.301969056666,2021-07-20,2021-12-08
rnv-RK7xBnOrrGcOGoELr,gEk8nqEOZRC8MrzQ8mq9c6vLwLNjPqf8E9LjX,36.0,77.0,46.75324675324675,741.0999999999999,2937.6600000000003,25.22756207321473,1549.0289027854897,2021-10-16,2021-12-07
bmb-zCyNoxSEP6GmiKM5o,j4eKVd6geQIp1qz65oL0HxD1YONNzDCRA1xVo,389.0,1152.0,33.76736111111111,18918.14,130399.23000000004,14.507861741208131,73893.32191643828,2020-11-27,2021-12-09
j93Rzp1iEOaAYRzO0gtpB,kL9PdNmLLDCgx5pj6jmKTknzw8xqDqSowZN5w,72.0,181.0,39.77900552486188,20495.760000000006,41647.47999999999,49.212485365261024,31354.770477448386,2021-07-19,2021-12-07
I3DtAT6IXzPmu6kBrxuX1,mvPrVP1MyPuKY7Nyv7NnUZLQQ7JdjmIBzqRpZ,156.0,763.0,20.445609436435124,7942.97,32495.190000000002,24.44352533405713,19925.384137474466,2020-10-22,2021-11-22
PTBO77Ueicg6M81qCtmDA,ow1XKjgb6whaz8ayxAKZFzO4OmwakgCBy5N6e,301.0,490.0,61.42857142857143,12322.859999999995,28695.49000000007,42.94354269608208,13389.01660889221,2020-10-21,2021-12-09
CySYsLjhnfPEy6e0CuWoW,owJvrwwKDdIEQqAb8N0ziA35p9EaMpHBKN5R0,137.0,358.0,38.26815642458101,2943.3399999999983,9491.819999999996,31.009226892208236,7653.1251033497,2021-04-07,2021-12-03
l3uW04zBbwDIL1rAs51K3,pr7aaojorksQeDKY0ykJU1pvj4bYexHJQVmyA,25.0,28.0,89.28571428571429,1691.75,1776.65,95.22134353980806,383.1875937045999,2019-12-17,2021-11-18
AGiirjVT3yVfJEN-nBGDj,qQM6OEBdXVfeXNvkAKRBh3nJZ34BQEiJE9m54,100.0,385.0,25.97402597402597,27715.18999999999,103155.43999999994,26.867405150906247,57676.57475423544,2019-12-10,2021-12-07
YyVZwawzj2s_ilRcZ7mtR,qnRxKOVz8oieb60p8eaYfjadod5xdzIJA7j4E,135.0,508.0,26.574803149606304,4403.369999999994,18199.839999999967,24.194553358710856,9881.152656113727,2020-10-17,2021-12-08
-aoQHM5jUbdjoZMQGe6xj,rM40OAKL7NSxyB7XLDRbHdLNNMvadDCB84NXk,104.0,314.0,33.12101910828025,4971.59,16152.90999999999,30.778293199182084,8803.144219654012,2019-12-13,2021-12-05
5Jmpn5jxgXTqOMxCqhLxh,raQrv0BowEtxy6bjA51zS6316gZqXBfBABpQZ,151.0,320.0,47.1875,9239.09999999999,17501.08999999999,52.791568982274796,7500.656569232233,2019-12-11,2021-12-06
_z2TNlr_JXxU_8Mc_Y6w3,re06mzRo4EHA8w0qrqwRsNXvrbjqm9HB7wp3x,4.0,7.0,57.14285714285714,1898.78,2225.92,85.30315554916619,551.5893378800001,2021-08-05,2021-10-22
CI5TToGuQERMp7qEE40OH,rywz6q9DqKFA4bkErnrrs3og5dOaK3sB1a1y0,39.0,106.0,36.79245283018868,7084.85,35451.56999999999,19.98458742447796,6037.595211516339,2019-12-11,2021-11-22
Nrv_4OgqaoQzA-wXmXmUd,xL78KM3yYOfgBB6Dr1y8HbypNQEeKoCMQ9PNZ,47.0,153.0,30.718954248366014,1786.8200000000002,6821.190000000002,26.195136039312782,4696.273308607191,2021-07-19,2021-12-06
CI5TToGuQERMp7qEE40OH,xjqzRA6yABT0Le6E1q11ion9QbrgkoUMBJBD7,28.0,105.0,26.666666666666668,1835.63,77772.95999999999,2.360241914413442,11526.981750647657,2019-12-30,2021-12-02
IORxXbTesttGFTmm7Wvr4,z3AxRLB73vImPbkO11vAIKonzwA89zIOvNJz9,64.0,172.0,37.2093023255814,797.19,3243.840000000001,24.575503107428226,1592.13083830043,2020-07-12,2021-12-08
CI5TToGuQERMp7qEE40OH,48KL09dO97T1O5Vo8v88h5JkmVbRe5TkdJdY5,0.0,1.0,0.0,0.0,2000.0,0.0,501.3444,2021-03-15,2021-03-15
U_PaPBjdLgkbAEDii3umE,9rbABym0kvToQwpnK70PS5Ry4XMRYqFdwRE1L,0.0,11.0,0.0,0.0,8767.14,0.0,4057.33979457724,2020-01-09,2021-05-27
U_PaPBjdLgkbAEDii3umE,Vj6QNY9VLnSwBz4nMNPkhxaZnvga0jIrE8gVQ,0.0,12.0,0.0,0.0,2470.08,0.0,2881.8537542542604,2021-01-15,2021-12-02
d3P0mCJzwbjPbf6uU7kVD,aeqY3Pk1Q0uMQEQMDLb6fLDbRk9EX6fZ9r7g9,0.0,1.0,0.0,0.0,109.74,0.0,15.8809906293,2020-04-20,2020-04-20
j93Rzp1iEOaAYRzO0gtpB,n86mPxdRPVsZd7oMVqP7iKmv440LRLIA53OQR,0.0,1.0,0.0,0.0,106.18,0.0,21.15496055714,2021-04-23,2021-04-23
,,,,0.36079484425349084,,,0.2697979225239714,,,
