"companyName","_id"
"Capri Holdings Limited","620ab7604aaeb67237a37a43"
"Coupa","620ab7604aaeb67237a37a47"
"Salesforce","620ab7604aaeb67237a37a4b"
"Cisco","620ab7604aaeb67237a37a4f"
"Crowdstrike","620ab7604aaeb67237a37a53"
"Cintas Corp","620ab7604aaeb67237a37a57"
"CSX Corp","620ab7604aaeb67237a37a5b"
"Citrix Systems, Inc.","620ab7604aaeb67237a37a5f"
"CoStar Group Inc","620ab7604aaeb67237a37a63"
"Cognizant Technology Solutions Corp","620ab7614aaeb67237a37a67"
"Carvana Co.","620ab7614aaeb67237a37a6b"
"CVS Health Corporation","620ab7614aaeb67237a37a6f"
"Chevron","620ab7614aaeb67237a37a73"
"Concho Resources Inc.","620ab7614aaeb67237a37a77"
"Delta Air Lines Inc","620ab7614aaeb67237a37a7b"
"Dominion Energy","620ab7614aaeb67237a37a7f"
"Dropbox","620ab7614aaeb67237a37a83"
"Datadog","620ab7614aaeb67237a37a87"
"Dollar General Corp","620ab7614aaeb67237a37a8b"
"Discover","620ab7614aaeb67237a37a8f"
"Dell Technologies","620ab7614aaeb67237a37a93"
"Dolby Laboratory","620ab7614aaeb67237a37a97"
"DISH Network Corp","620ab7614aaeb67237a37a9b"
"Dick's Sporting Goods Inc","620ab7624aaeb67237a37a9f"
"The Walt Disney Company","620ab7624aaeb67237a37aa3"
"Dollar Tree","620ab7624aaeb67237a37aa7"
"DocuSign","620ab7624aaeb67237a37aab"
"Discovery, Inc.","620ab7624aaeb67237a37aaf"
"Inspire stories","620ab7624aaeb67237a37ab3"
"DTE Energy","620ab7624aaeb67237a37ab7"
"Domino's Pizza Inc","620ab7624aaeb67237a37abb"
"Darden Restaurants Inc","620ab7624aaeb67237a37abf"
"Duke Energy","620ab7624aaeb67237a37ac3"
"Devon Energy Corp","620ab7624aaeb67237a37ac7"
"Electronic Arts Inc.","620ab7624aaeb67237a37acb"
"DXC Technology Company","620ab7624aaeb67237a37acf"
"Euronet Worldwide, Inc.","620ab7624aaeb67237a37ad3"
"eBay Inc","620ab7624aaeb67237a37ad7"
"Equifax","620ab7624aaeb67237a37adb"
"Con Edison","620ab7634aaeb67237a37adf"
"EOG Resorces, Inc.","620ab7634aaeb67237a37ae3"
"Enphase Energy, Inc.","620ab7634aaeb67237a37ae7"
"Edison International","620ab7634aaeb67237a37aeb"
"The Estee Lauder Companies Inc.","620ab7634aaeb67237a37aef"
"EQT Corporation","620ab7634aaeb67237a37af3"
"Equitable Holdings, Inc.","620ab7634aaeb67237a37af7"
"EPAM Systems","620ab7634aaeb67237a37afb"
"Elastic N.V.","620ab7634aaeb67237a37aff"
"Erie Insurance","620ab7634aaeb67237a37b03"
"E*TRADE Financial Corporation","620ab7634aaeb67237a37b07"
"Eversource","620ab7634aaeb67237a37b0b"
"Entergy","620ab7634aaeb67237a37b0f"
"Eaton Vance Corp","620ab7634aaeb67237a37b13"
"Etsy, Inc.","620ab7634aaeb67237a37b17"
"Everbridge, Inc.","620ab7644aaeb67237a37b1b"
"Evergy, Inc.","620ab7644aaeb67237a37b1f"
"Evercore Partners Inc","620ab7644aaeb67237a37b23"
"Expeditors","620ab7644aaeb67237a37b27"
"East West Bank","620ab7644aaeb67237a37b2b"
"Exelon","620ab7644aaeb67237a37b2f"
"Ford Motor Company","620ab7644aaeb67237a37b33"
"First American","620ab7644aaeb67237a37b37"
"Expedia Inc","620ab7644aaeb67237a37b3b"
"Fastenal Co","620ab7644aaeb67237a37b3f"
"Diamondback Energy Inc","620ab7644aaeb67237a37b43"
"FTI Consulting, Inc.","620ab7644aaeb67237a37b47"
"Facebook Inc","620ab7644aaeb67237a37b4b"
"First Citizens Bancshares Inc","620ab7644aaeb67237a37b4f"
"FactSet Research Systems Inc","620ab7644aaeb67237a37b53"
"F5","620ab7654aaeb67237a37b57"
"FirstEnergy","620ab7654aaeb67237a37b5b"
"First Horizon","620ab7654aaeb67237a37b5f"
"First Hawaiian Inc","620ab7654aaeb67237a37b63"
"FedEx Corp","620ab7654aaeb67237a37b67"
"FICO","620ab7654aaeb67237a37b6b"
"FireEye","620ab7654aaeb67237a37b6f"
"Fidelity National Information Services, Inc.","620ab7654aaeb67237a37b73"
"Fiserv Inc","620ab7654aaeb67237a37b77"
"Fifth Third Bank","620ab7654aaeb67237a37b7b"
"Five Below","620ab7654aaeb67237a37b7f"
"Five9","620ab7654aaeb67237a37b83"
"First National Bank","620ab7654aaeb67237a37b87"
"Foot Locker Inc","620ab7654aaeb67237a37b8b"
"FLEETCOR Technologies, Inc.","620ab7654aaeb67237a37b8f"
"Fox Corporation","620ab7654aaeb67237a37b93"
"First Republic Bank","620ab7664aaeb67237a37b97"
"frontdoor, inc.","620ab7664aaeb67237a37b9b"
"Liberty Media Corporation","620ab7664aaeb67237a37b9f"
"Fortinet","620ab7664aaeb67237a37ba3"
"Fastly","620ab7664aaeb67237a37ba7"
"Genpact Ltd","620ab7664aaeb67237a37bab"
"GoDaddy","620ab7664aaeb67237a37baf"
"Global Life","620ab7664aaeb67237a37bb3"
"GCI Liberty, Inc.","620ab7664aaeb67237a37bb7"
"Generac Holdings Inc.","620ab7664aaeb67237a37bbb"
"Globus Medical, Inc.","620ab7664aaeb67237a37bbf"
"Graham Holdings Company","620ab7664aaeb67237a37bc3"
"Corning, Inc.","620ab7664aaeb67237a37bc7"
"Alphabet, Inc.","620ab7664aaeb67237a37bcb"
"Genuine Parts Co","620ab7664aaeb67237a37bcf"
"Global Payments Inc","620ab7674aaeb67237a37bd3"
"Gentex Corp","620ab7674aaeb67237a37bd7"
"Grubhub","620ab7674aaeb67237a37bdb"
"The Gap, Inc.","620ab7674aaeb67237a37bdf"
"Garmin Ltd","620ab7674aaeb67237a37be3"
"Guidewire","620ab7674aaeb67237a37be7"
"WW Grainger Inc","620ab7674aaeb67237a37beb"
"Gates Industrial Corp PLC","620ab7674aaeb67237a37bef"
"Hasbro","620ab7674aaeb67237a37bf3"
"Hyatt Hotels Corporation","620ab7674aaeb67237a37bf7"
"Huntington","620ab7674aaeb67237a37bfb"
"The Home Depot","620ab7674aaeb67237a37bff"
"HD Supply Holdings, Inc.","620ab7674aaeb67237a37c03"
"Hess Corporation","620ab7674aaeb67237a37c07"
"Hawaiian Electric","620ab7674aaeb67237a37c0b"
"Hanes Brands Inc","620ab7684aaeb67237a37c0f"
"HEICO Corporation","620ab7684aaeb67237a37c13"
"The Hartford","620ab7684aaeb67237a37c17"
"Goldman Sachs Group Inc","620ab7684aaeb67237a37c1b"
"Herbalife Ltd","620ab7684aaeb67237a37c1f"
"Harley-Davidson","620ab7684aaeb67237a37c23"
"HollyFrontier Corporation","620ab7684aaeb67237a37c27"
"Hilton Worldwide Holdings Inc","620ab7684aaeb67237a37c2b"
"Hewlett Packard Enterprise Company","620ab7684aaeb67237a37c2f"
"HP","620ab7684aaeb67237a37c33"
"H&R Block","620ab7684aaeb67237a37c37"
"HubSpot, Inc.","620ab7684aaeb67237a37c3b"
"IAC","620ab7684aaeb67237a37c3f"
"International Business Machines Corporation","620ab7684aaeb67237a37c43"
"Interactive Brokers","620ab7684aaeb67237a37c47"
"Intercontinental Exchange","620ab7694aaeb67237a37c4b"
"Immunomedics, Inc.","620ab7694aaeb67237a37c4f"
"IDACORP","620ab7694aaeb67237a37c53"
"IHS Markit","620ab7694aaeb67237a37c57"
"Intuit","620ab7694aaeb67237a37c5b"
"Iovance Biotherapeutics, Inc.","620ab7694aaeb67237a37c5f"
"Interpublic Group","620ab7694aaeb67237a37c63"
"Inphi Corporation","620ab7694aaeb67237a37c67"
"Gartner Inc","620ab7694aaeb67237a37c6b"
"Invesco","620ab7694aaeb67237a37c6f"
"JetBlue","620ab7694aaeb67237a37c73"
"Juniper Networks, Inc.","620ab7694aaeb67237a37c77"
"J.B. Hunt","620ab7694aaeb67237a37c7b"
"Jefferies Financial Group","620ab7694aaeb67237a37c7f"
"Jack Henry & Associates Inc","620ab7694aaeb67237a37c83"
"Johnson Controls International PLC","620ab7694aaeb67237a37c87"
"JPMorgan Chase & Co","620ab76a4aaeb67237a37c8b"
"KKR","620ab76a4aaeb67237a37c8f"
"Nordstrom","620ab76a4aaeb67237a37c93"
"John Wiley & Sons Inc","620ab76a4aaeb67237a37c97"
"KeyBank","620ab76a4aaeb67237a37c9b"
"Kemper Corporation","620ab76a4aaeb67237a37c9f"
"Kirby Corp","620ab76a4aaeb67237a37ca3"
"Kohl's","620ab76a4aaeb67237a37ca7"
"CarMax Inc","620ab76a4aaeb67237a37cab"
"Knight-Swift","620ab76a4aaeb67237a37caf"
"Loews Corp","620ab76a4aaeb67237a37cb3"
"Leidos Holdings, Inc.","620ab76a4aaeb67237a37cb7"
"Lazard Ltd","620ab76a4aaeb67237a37cbb"
"Kansas City Southern","620ab76a4aaeb67237a37cbf"
"Lions Gate Entertainment Corp","620ab76a4aaeb67237a37cc3"
"Lear Corporation","620ab76b4aaeb67237a37cc7"
"Lumentum Holdings Inc.","620ab76b4aaeb67237a37ccb"
"Lincoln National Corp","620ab76b4aaeb67237a37ccf"
"L3 Harris Technologies","620ab76b4aaeb67237a37cd3"
"Cheniere Energy Inc","620ab76b4aaeb67237a37cd7"
"LPL Financial","620ab76b4aaeb67237a37cdb"
"Alliant Energy","620ab76b4aaeb67237a37cdf"
"Lowe's","620ab76b4aaeb67237a37ce3"
"Landstar System Inc","620ab76b4aaeb67237a37ce7"
"LKQ Corp","620ab76b4aaeb67237a37ceb"
"Lululemon","620ab76b4aaeb67237a37cef"
"Southwest Airlines Co.","620ab76b4aaeb67237a37cf3"
"Lumen","620ab76b4aaeb67237a37cf7"
"Livongo Health, Inc.","620ab76b4aaeb67237a37cfb"
"Lyft, Inc.","620ab76b4aaeb67237a37cff"
"MasterCard","620ab76b4aaeb67237a37d03"
"Las Vegas Sands Corp","620ab76c4aaeb67237a37d07"
"ManpowerGroup Inc","620ab76c4aaeb67237a37d0b"
"Manhattan Associates, Inc.","620ab76c4aaeb67237a37d0f"
"Live Nation Entertainment","620ab76c4aaeb67237a37d13"
"Mattel Inc","620ab76c4aaeb67237a37d17"
"MetLife Inc","620ab76c4aaeb67237a37d1b"
"McDonald's Corp","620ab76c4aaeb67237a37d1f"
"Moody's","620ab76c4aaeb67237a37d23"
"Mercury Insurance","620ab76c4aaeb67237a37d27"
"Marriott International Inc","620ab76c4aaeb67237a37d2b"
"MongoDB, Inc.","620ab76c4aaeb67237a37d2f"
"Mohawk Industries Inc","620ab76c4aaeb67237a37d33"
"Macquarie","620ab76c4aaeb67237a37d37"
"MGM Resorts","620ab76c4aaeb67237a37d3b"
"MarketAxess","620ab76c4aaeb67237a37d3f"
"Altria","620ab76d4aaeb67237a37d43"
"Marsh McLennan","620ab76d4aaeb67237a37d47"
"Markel","620ab76d4aaeb67237a37d4b"
"Morningstar Inc","620ab76d4aaeb67237a37d4f"
"Mercury Systems, Inc.","620ab76d4aaeb67237a37d53"
"Marathon Petroleum Corp","620ab76d4aaeb67237a37d57"
"Morgan Stanley","620ab76d4aaeb67237a37d5b"
"Marathon Oil Corp","620ab76d4aaeb67237a37d5f"
