legacyId,companyName,bCorp_ia_community_it_civic_engagement_giving,bCorp_ia_community_it_designed_to_give,bCorp_ia_community_ia_community_it_diversity_equity_inclusion,bCorp_ia_community_it_diversity_inclusion,bCorp_ia_community_it_economic_impact,bCorp_ia_community_it_job_creation,bCorp_ia_community_it_local_economic_development,bCorp_ia_community_it_local_involvement,bCorp_ia_community_it_microdistribution_poverty_alleviation,bCorp_ia_community_it_producer_cooperative,bCorp_ia_community_it_suppliers_distributors_product,bCorp_ia_community_it_supply_chain_management,bCorp_ia_community_it_supply_chain_poverty_alleviation,bCorp_ia_customers_it_arts_media_culture,bCorp_ia_customers_it_basic_services_for_the_underserved,bCorp_ia_customers_it_business_model_and_engagement,bCorp_ia_customers_it_capacity_building,bCorp_ia_customers_it_current_fund,bCorp_ia_customers_it_customer_stewardship,bCorp_ia_customers_it_economic_empowerment_for_the_underserved,bCorp_ia_customers_it_education,bCorp_ia_customers_it_educational_outcomes,bCorp_ia_customers_it_fund_governance,bCorp_ia_customers_it_health_wellness_improvement,bCorp_ia_customers_it_impact_improvement,bCorp_ia_customers_it_improved_impact,bCorp_ia_customers_it_infrastructure_market_access_building,bCorp_ia_customers_it_investment_criteria,bCorp_ia_customers_it_leadership_outreach,bCorp_ia_customers_it_mission_lock,bCorp_ia_customers_it_past_performance,bCorp_ia_customers_it_portfolio_management,bCorp_ia_customers_it_portfolio_reporting,bCorp_ia_customers_it_positive_impact,bCorp_ia_customers_it_privacy_and_consumer_protection,bCorp_ia_customers_it_quality_and_continuous_improvement,bCorp_ia_customers_it_serving_in_need_populations,bCorp_ia_customers_it_serving_underserved_populations_direct_,bCorp_ia_customers_it_support_for_underserved_purpose_driven_enterprises,bCorp_ia_customers_it_targeted_for_investment,bCorp_ia_environment_it_air_climate,bCorp_ia_environment_it_certification,bCorp_ia_environment_it_community,bCorp_ia_environment_it_designed_to_conserve_manufacturing_process,bCorp_ia_environment_it_environmental_education_information,bCorp_ia_environment_it_environmental_management,bCorp_ia_environment_it_environmentally_innovative_manufacturing_process,bCorp_ia_environment_it_environmentally_innovative_wholesale_process,bCorp_ia_environment_it_green_lending,bCorp_ia_environment_it_inputs,bCorp_ia_environment_it_land_life,bCorp_ia_environment_it_land_office_plant,bCorp_ia_environment_it_land_wildlife_conservation,bCorp_ia_environment_it_material_energy_use,bCorp_ia_environment_it_materials_codes,bCorp_ia_environment_it_outputs,bCorp_ia_environment_it_renewable_or_cleaner_burning_energy,bCorp_ia_environment_it_resource_conservation,bCorp_ia_environment_it_toxin_reduction_remediation,bCorp_ia_environment_it_training_collaboration,bCorp_ia_environment_it_transportation_distribution_suppliers,bCorp_ia_environment_it_water,bCorp_ia_workers_it_worker_benefits,bCorp_ia_workers_it_career_development,bCorp_ia_workers_it_compensation_wages,bCorp_ia_workers_it_engagement_satisfaction,bCorp_ia_workers_it_financial_security,bCorp_ia_workers_it_health_wellness_safety,bCorp_ia_workers_it_job_flexibility_corporate_culture,bCorp_ia_workers_it_management_worker_communication,bCorp_ia_workers_it_occupational_health_safety,bCorp_ia_workers_it_training_education,bCorp_ia_workers_it_worker_owned,bCorp_ia_workers_it_worker_ownership,bCorp_ia_workers_it_workforce_development
11345,Evolution Marketing,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11346,Advanced Metrics,1,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,
11347,Chehalem Winery,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,1,,1,,,,,,1,,1,,,,
11348,Wefunder,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,
11349,Veterinary Specialty Center,1,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,1,,,,1,,,1,,,
11351,TiER1 Performance,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,1,1,
11352,Valley City Electronic Recycling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,1,,,1
11353,"Gem Consulting Solutions, llc",1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11355,Stumptown Coffee Roasters,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,
11357,Salazar Landscaping,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,1,,,,,1,,,,,
11358,Portola Creek Capital,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11359,Mayfly Outdoors,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
11360,Mad Fish Digital,1,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,1,,1,
11361,Sir Kensington's,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,1,1,1,,,,,,,
11364,"Inherent Group, LP",1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,
11366,"Evrnu, SPC",,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,1,,1,,1,
11368,Lake Champlain Chocolates,1,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,1,,,,
11369,"Atchley & Associates, LLP",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,1,,1,
11371,SYLVAIN,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,1,,,,1,
11372,Sensiba San Filippo LLP,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,1,,1,1,1,,,,,,,
11373,Coates Kokes,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,,,,,1,
11375,Upslope Brewing Company,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,1,1,,,
11376,All Things Open,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
11377,Commons Company,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,,1,,,,,,
11380,"New Resource Solutions, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
11381,"Catalyst Law, LLC",1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,1,
11382,"Environmental Incentives, LLC",1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,1,,1,
11383,Apiary Studio,1,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11384,Goodkind Co,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,
11385,Wanderlust,1,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,1,,,
11386,Wild Friends Foods,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,
11387,Food Insight Group,1,,,1,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
11390,HELPSY,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
11391,"JB Media Group, LLC",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,1,,1,,,,,,,,,
11392,"Zip Code East Bay, Inc.",1,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,1,
11393,bigtruck®,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
11394,"ByFusion Global, Inc",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,1,,,,,,,1,,,,1,
11395,Trebuchet Group International LLC,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,
11396,JBA Wealth Management Group,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,1,,,,,,,,
11397,"Athleta, Inc.",1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,1,1,,,
11398,Longview Structures LLC,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,,,1,,,,,
11399,ReGrained,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,1,,1,
11400,MegaFood,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,,,,,1,,1,,,,
11401,Salt Palm Development,1,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,
11402,idgroup,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,1,,,
11403,Herb Pharm,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,1,,1,,,,,,,,1,,,,
11404,Allied Cloud,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11405,Radish Lab,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,1,,1,
11407,Urban Remedy,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,1,,,,,,,,,,1,,,,
11408,Unity Web Agency,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,1,,1,,,1,,,,,,,,
11409,Confluence Sustainability,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11410,do good well consulting,1,1,1,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
11411,Brinkman Real Estate,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,
11413,RALLY,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
11415,"Biohabitats, Inc.",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,1,,1,,,,1,1,,1,,1,
11416,Plaine Products,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
11417,Rockridge Venture Law,1,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11418,Luke's Lobster,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,1,,,,,,1,,,,,,,
11419,bambu,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,,1,,,,,1,,,,,
11420,Reitmeier,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,1,,1,,1,,,,,,1,1,,,
11421,"Heritage Aviation, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,1,1,1,1,
11422,NOOMA,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,
11424,HoneyBee,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
11426,Mokulua High Performance Builder,,,,,1,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,
11427,SunBug Solar LLC,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,
11428,"Workit Health, Inc.",1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,1,
11429,Avenue,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,
11430,GreenSavers,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,1,
11431,Bombas,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,
11432,Participant,1,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,1,,1,1,1,,,,,,,
11434,Akamai,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
11435,atlasGO,,,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
11436,OLLY PBC,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,1,1,,,,,,,
11437,Tenfold Health,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11438,Carpe Diem Education,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,1,,1,1,1,,,,,,,
11439,Jelt,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,
11440,Pure Strategies,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
11443,Vert & Vogue,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,
11444,Connective Impact,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11445,"JUST Goods, Inc.",,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,1,,,1,
11446,"MOR Wealth Management, LLC.",1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,1,,1,
11448,Vert Asset Management,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
11449,Good Stuff Partners,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
11450,Obvious Ventures,1,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,1,,,,,,
11454,"Borders Perrin Norrander, Inc.",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,
11455,AMS Fulfillment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,1
11456,"NextEdge Networks Holdings, LLC & Modus, LLC",1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,1,,1,
11458,Once Upon a Farm PBC,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,1,,,,,,,,,1,,,,,
11459,Peace Coffee,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,
11460,Let Em Have It Salon,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,
11461,Sudara Inc.,1,,,1,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,
11462,Entrust Financial,1,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,1,
11464,Vermilion Inc.,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,1,1,1,,,,,,,
11465,Crazy Richard's Peanut Butter Company,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
11466,Cloud City,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,1,,1,,,
11467,SinnovaTek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,
11468,Fors Marsh Group LLC,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,1,,1,,1,1,1,,,,,,,
11469,The Scott Farm,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,1,,,,1,,,,,1,,,,,
11471,ImpactAdvisor LLC,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
11472,"FREY Brothers, INC",1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,,,,,,,,,,
11473,Nisolo,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,
11474,Fig Loans,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,
11475,Atomic Object LLC,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,1,,1,,1,
11476,TEN OVER STUDIO,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,1,,1,,1,
11477,Just Coffee Cooperative,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,
11478,Inspire Clean Energy,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,,1,,1,
11479,"Snowflake, LLC",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11483,"Secure Futures, LLC",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,,1,,1,
11485,Closed Loop Partners,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,
11486,Money Positive,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
11488,HEX Ferments,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,
11490,Bullhorn,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,
11491,French Broad Chocolates,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,1,,,
11493,Stash Tea,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,1,,,,,,,
11494,Upward Technology,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,1,,1,,1,
11495,MMercer Consulting,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11496,Meow Wolf,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,1,,,,,,,
11497,MADE OF,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,1,,,,,,,,,,,,,,
11498,Jetty,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,
11500,The Alchemist,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,,,,,,
11501,"OnSite Energy, Inc.",1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,1,,,,,1,,,,,
11502,goodDog,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11503,NationSwell,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,
11504,"Blue Marble Ice Cream, LLC",1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,1,,,,,,,,,1,
11505,Creative Energies,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,
11506,"OverDrive, Inc.",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,1,,1,1,1,,,,,,,
11507,Scout Books,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,
11508,Stoller Family Estate,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,1,,,,
11509,"AllCare Health, Inc.",1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
