companyName,companyId,parentName,parentId,removeParent,notes
Tom Thumb,62def3ee7b212526d1e0a16e,Albertsons Companies,621b99625f87e75f5365bf45,,
United Supermarkets,62def3ee7b212526d1e0a173,Albertsons Companies,621b99625f87e75f5365bf45,,
Vons,62def3ee7b212526d1e0a178,Albertsons Companies,621b99625f87e75f5365bf45,,
Olive Garden,62def3f17b212526d1e0a1e1,Darden Restaurants,621b99325f87e75f5365a3b5,,
LongHorn Steakhouse,62def3f17b212526d1e0a1e6,Darden Restaurants,621b99325f87e75f5365a3b5,,
Cheddarâ€™s Scratch Kitchen,62def3f27b212526d1e0a1eb,Darden Restaurants,621b99325f87e75f5365a3b5,,
Yard House,62def3f27b212526d1e0a1f0,Darden Restaurants,621b99325f87e75f5365a3b5,,
The Capital Grille,62def3f27b212526d1e0a1f5,Darden Restaurants,621b99325f87e75f5365a3b5,,
Seasons 52,62def3f27b212526d1e0a1fa,Darden Restaurants,621b99325f87e75f5365a3b5,,
Bahama Breeze,62def3f27b212526d1e0a1ff,Darden Restaurants,621b99325f87e75f5365a3b5,,
Eddie V's,62def3f27b212526d1e0a204,Darden Restaurants,621b99325f87e75f5365a3b5,,
