"userId","merchantFrequencies"
"621b99235f87e75f53659b44","[{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Walmart"",""frequency"":2}]"
"621b99235f87e75f53659b49","[{""company"":""Food Lion"",""frequency"":3},{""company"":""H&M"",""frequency"":1},{""company"":""Nike"",""frequency"":2}]"
"621b99235f87e75f53659b57","[{""company"":""GrubHub"",""frequency"":1}]"
"621b99235f87e75f53659b5f","[{""company"":""Expedia"",""frequency"":2},{""company"":""Walmart"",""frequency"":2},{""company"":""Old Navy"",""frequency"":2}]"
"621b99235f87e75f53659b68","[{""company"":""Walmart"",""frequency"":1}]"
"621b99235f87e75f53659b6c","[{""company"":""Walmart"",""frequency"":1}]"
"621b99235f87e75f53659b90","[{""company"":""Paramount+"",""frequency"":1},{""company"":""Costco"",""frequency"":1},{""company"":""AT&T"",""frequency"":1},{""company"":""weightwatchers"",""frequency"":1},{""company"":""Sephora"",""frequency"":1}]"
"621b99235f87e75f53659b94","[{""company"":""Athleta"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":2},{""company"":""Stop & Shop"",""frequency"":2},{""company"":""Beauty Pie"",""frequency"":1}]"
"621b99235f87e75f53659bb4","[{""company"":""Costco"",""frequency"":3},{""company"":""CVS Pharmacy"",""frequency"":1},{""company"":""Walmart"",""frequency"":2}]"
"621b99245f87e75f53659bd0","[{""company"":""AT&T"",""frequency"":1}]"
"621b99255f87e75f53659c74","[{""company"":""CVS Pharmacy"",""frequency"":2},{""company"":""Best Buy"",""frequency"":1},{""company"":""Walmart"",""frequency"":4}]"
"621b99255f87e75f53659cc4","[{""company"":""Expedia"",""frequency"":1},{""company"":""Costco"",""frequency"":4},{""company"":""Walgreens Co."",""frequency"":2}]"
"621b99255f87e75f53659ccc","[{""company"":""Walmart"",""frequency"":2},{""company"":""Panera Bread"",""frequency"":1}]"
"621b99255f87e75f53659cdc","[{""company"":""Walmart"",""frequency"":1}]"
"621b99255f87e75f53659ce0","[{""company"":""CVS Pharmacy"",""frequency"":1}]"
"621b99255f87e75f53659cf0","[{""company"":""Walmart"",""frequency"":1}]"
"621b99265f87e75f53659d38","[{""company"":""AT&T"",""frequency"":1},{""company"":""Staples"",""frequency"":2},{""company"":""Walmart"",""frequency"":1},{""company"":""Madewell"",""frequency"":1},{""company"":""Sephora"",""frequency"":1}]"
"621b99275f87e75f53659d88","[{""company"":""CVS Pharmacy"",""frequency"":2}]"
"621b99275f87e75f53659e0c","[{""company"":""Walmart"",""frequency"":2},{""company"":""Panera Bread"",""frequency"":1}]"
"621b99285f87e75f53659e30","[{""company"":""GrubHub"",""frequency"":1},{""company"":""Verizon Communications"",""frequency"":1}]"
"621b99285f87e75f53659e60","[{""company"":""Walmart"",""frequency"":1}]"
"621b99285f87e75f53659ea8","[{""company"":""H&M"",""frequency"":1}]"
"621b99295f87e75f53659eb0","[{""company"":""Walmart"",""frequency"":3},{""company"":""Meta"",""frequency"":13}]"
