"transactionId","acceptorName"
"65b955b8fc9b902917f9b380","TELCASH"
"65b95bd6fc9b902917f9b3d4","TELCASH"
"65b95e4ffc9b902917f9b43a","TELCASH"
"65b95f40fc9b902917f9b46d","TELCASH"
"65b9626cfc9b902917f9b48a","WINRED* SAVE AMERI"
"65b98163fc9b902917f9d11b","450686479"
"65b994f6fc9b902917f9d1d6","SP ONEQUINCE"
"65b9a3f0fc9b902917f9d2ac","STATE FARM INSURANCE"
"65b9b43ffc9b902917f9d346","CC Filson Co"
"65b9c738fc9b902917f9d496","Wildcats Bar & Grill"
"65b9ce0cfc9b902917f9d4d0","Wildcats Bar & Grill"
"65b9d4a2fc9b902917f9d508","OpticsPlanet.Com"
"65ba46b9fc9b902917f9d77b","CIRCLE K # 23118"
"65ba5fe1fc9b902917f9d9fc","TELCASH"
"65ba66befc9b902917f9da32","WINCO FOODS #142"
"65ba8e4dfc9b902917f9dc0c","MOE'S 4836"
"65ba9337fc9b902917f9dc87","WWW.PETSMART.COM"
"65bac67b3c75b3ec277334a0","THE HEALTH NUTS"
"65bae21461de3794cc291ddc","WYATT`S TWISTED AMERICANA"
"65bae3e261de3794cc291e11","TST* HIGHLAND GRILL"
"65baf29261de3794cc291e87","EL LORO MEXICAN RESTAURAN"
"65bbd2c11cf70e67a01fb49b","Copeia1852"
"65bbdeb91cf70e67a01fb500","SP HOUSEPLANT"
"65bc209ae62705fe999d7c2c","GRUBHUB*FAMOUSORIGINAL"
"65bc3f3ee62705fe999d7cef","SP TATOS MALLETS"
"65bc3fa5e62705fe999d7d11","SP TATOS MALLETS"
"65bc4013e62705fe999d7d33","SP TATOS MALLETS"
"65bc4062e62705fe999d7d6b","SP TATOS MALLETS"
"65bc41bee62705fe999d7d8d","SP TATOS MALLETS"
"65bc425ee62705fe999d7daf","AMEXGIFTCARD.COM"
"65bc5fbfe62705fe999d7e26","Crown Burger VI"
"65bd27a6e6c6453e1378dc7e","MCALISTER'S 101032"
"65bd2ee5da24dd8975a912f5","SQ *CORPORATE EATS INC"
"65bd53fada24dd8975a913d0","WF *WAYFAIR4188071793"
"65bd53fcda24dd8975a913e4","WF *WAYFAIR4188071793"
"65bd8488da24dd8975a91576","CHOPSTIX"
"65bd865eda24dd8975a915db","SQ *THE GREAT NORTHERN"
"65be1b4dda24dd8975a9213f","SAKS"
"65beb8acda24dd8975a9260e","TST* DRAM & DRAUGHT CARY"
"65bed8adda24dd8975a92673","SQ *BRICK OVEN BUS LLC"
"65bef2f1da24dd8975a926a8","Redstone Grill"
"65bfaa0bda24dd8975a928fc","Welch Village Ski Area"
"65bfbd90da24dd8975a9296d","BOMBAY CENTRAL - (RALE"
"65bfccbeda24dd8975a92a0b","85C BAKERY CAFE"
"65bfd23bda24dd8975a92a8e","DD *DOORDASH TACOSAZTE"
"65bfd788da24dd8975a92ac7","QUAIL RIDGE BOOKS"
"65bfdb2dda24dd8975a92af5","FEEDERS SUPPLY COMPANY #"
"65bfdd30da24dd8975a92b23","SP AMELIAS FLOWERS - N"
"65bfe2bcda24dd8975a92b50","TST* SOUTHERN SOCIAL - EA"
"65bfe798da24dd8975a92b84","NORDSTROM RACK # 60 E 14T"
"65bfe80bda24dd8975a92bc3","NORDSTROM RACK # 60 E 14T"
"65bfeaefda24dd8975a92bf3","SUMUP *WAKE FOREST COFFEE"
"65bfeb1ada24dd8975a92c40","SQ *MOONLIGHT FLORAL S"
"65c02f09da24dd8975a92e15","GRUBHUB*BANGKOKTHAIDEL"
"65c11e05a22033112b344722","CHICK-FIL-A #04656"
"65c12265a22033112b344770","CAFE CLUNY"
"65c15198edf73076640f7505","SP EVE LOM US"
"65c16bd4edf73076640f752f","REEBOK ECOMM"
"65c17f50edf73076640f7b1b","BLUE FIN TIME SQ"
"65c180bcedf73076640f7b78","LUIGIS PIZZA"
"65c181c2edf73076640f7bb1","3802 CEDAR  SPRINGS RD"
"65c18471edf73076640f7c14","3802 CEDAR  SPRINGS RD"
"65c1a183edf73076640f7cb0","WWW.KUNGFUTEA.COM"
"65c1a18cedf73076640f7cde","KFTEA* UNIVERSITY OF M"
"65c237b2edf73076640f804d","OLE & STEEN 14 111 EAS"
"65c24494edf73076640f809f","OLE & STEEN 14 111 EAS"
"65c24c0bedf73076640f80e7","TST* ASCENSION COFFEE - C"
"65c27868edf73076640f837e","BREAD & BUTTER 56"
"65c28a75edf73076640f83c2","BLVD   *LEVITICUS BODY PI"
"65c28a8cedf73076640f83f0","BLVD   *LEVITICUS BODY PI"
"65c293e5edf73076640f842d","BREAD & BUTTER 56"
"65c297f1edf73076640f8466","931 WINE & SPIRITS"
"65c2d7b3edf73076640f85c5","ESTRELLA PET GROOMING"
"65c2d817edf73076640f8602","ESTRELLA PET GRO"
"65c39cf8ecf329289838f569","TST* ASCENSION COFFEE - C"
"65c3aebe3095f5208ee7b506","TIX* WS JUNCTION FC TI"
"65c3c55a3095f5208ee7b55c","PANDA EXPRESS #1990"
"65c40a593095f5208ee7b5ca","SQ *NIKO NIKO BOBA - R"
"65c41a0e3095f5208ee7b62a","GRUBHUB*NANDOSPERIPERI"
"65c4f80d51e05be0d1ad7914","SQ *EXPRESS SHOP"
"65c503df51e05be0d1ad7bcd","WEAR PACT, LLC"
"65c517b151e05be0d1ad7f2e","5-CORPORATE EATS 365SECUR"
"65c51e9151e05be0d1ada0fd","TST* PARLOR DOUGHNUTS- OC"
"65c5216451e05be0d1ada142","DOC BS RESTAURANT MCK"
"65c5363551e05be0d1ada1da","TARGET CENTER ARENA"
"65c5555351e05be0d1ada292","HEART OF AMERICA GOLF COU"
"65c557c451e05be0d1ada2d7","SP OARS+ALPS"
"65c5609551e05be0d1ada302","DSW KNOLLWOOD MALL"
"65c5661b51e05be0d1ada358","PAYPAL *EMBLEMS"
"65c57a1a51e05be0d1ada3d7","TST* THE BRICK PROJECT"
"65c58b9f51e05be0d1adb150","SQ *TASTE OF POLAND"
"65c59f9451e05be0d1adb294","BABOR COSMETICS AMERICA C"
"65c6495c51e05be0d1adb548","HY-VEE EAGAN 116 HY VEE 1"
"65c65dbd51e05be0d1adcd9a","FOXTROT"
"65c66d2151e05be0d1adcde3","CEDARVALE LANES FITZ B"
"65c66f4651e05be0d1adce0e","SQ *CORPORATE EATS INC"
"65c6820351e05be0d1adce3a","Messenger 47th"
"65c693aa51e05be0d1adcf57","COSTCO GAS #0377"
"65c6940251e05be0d1adcf90","BAYSIDE MARGARITAVILLE"
"65c6957e51e05be0d1adcfe0","BAYSIDE MARGARITAVILLE"
"65c6975d51e05be0d1add018","MARSH'S SUNFRESH # 299"
"65c6a23b51e05be0d1add050","SQ *CARIBBEAN LIFE"
"65c6b84951e05be0d1add0c2","PlayStation Network"
"65c6cc4151e05be0d1add0f4","SQ *MINNEAPOLIS CIDER"
"65c6d04e51e05be0d1add12e","SUNOCO 0522816800"
"65c7824a51e05be0d1add436","SQ *JUBALA COFFEE"
"65c796ce51e05be0d1add49c","FOXTROT"
"65c79b0251e05be0d1add504","SQ *MATTO 58"
"65c7b2e851e05be0d1add56f","TRADER JOE S #57 TRADER J"
"65c7b64551e05be0d1add59d","CIRCLE K # 23118"
"65c7c2b551e05be0d1add691","TST* PARIS BAGUETTE - 211"
"65c7c6c151e05be0d1add6cc","CHILI'S WILMINGTON"
"65c7c6e951e05be0d1add6ef","CHILI'S WILMINGTON"
"65c7cfb651e05be0d1add728","FEDEX OFFICE #769"
"65c7da8351e05be0d1add7d2","SQ *CARLO'S BAKERY MAL"
"65c7da9851e05be0d1add7f4","SQ *CARLO'S BAKERY MAL"
"65c7ebe851e05be0d1add844","Mall of America #17 BBP"
"65c7ec0651e05be0d1add85e","Mall of America #17 BBP"
"65c7f18551e05be0d1add878","HAAGEN-DAZS 920"
"65c8029e51e05be0d1add8a2","RFC MALL OF AMERICA RE"
"65c824b251e05be0d1add8ee","TST* MOJOS FOOD MUSIC SO"
"65c8b45751e05be0d1addb06","GOOGLE *TEMPORARY HOLD"
"65c8da8f51e05be0d1addb92","KLARNA"
"65c8dac551e05be0d1addbb5","Klarna"
"65c9030651e05be0d1addbf0","SUNOCO 0522816800"
"65c919ca51e05be0d1addc2f","PANDA EXPRESS # 3374"
"65c931c551e05be0d1addd3f","MACY'S      528 2 FASHION"
"65c93e4151e05be0d1addd78","SQ *REBORN COFFEE - CD"
"65c94a4051e05be0d1adde2c","WORLD FOOD MART"
"65ca283751e05be0d1ade087","FIVE POINTS ENTERTAI"
"65ca2e4551e05be0d1ade0d7","QT 184 INSIDE"
"65ca3d1b51e05be0d1adf103","TST* ASCENSION COFFEE - C"
"65ca4db155c04a6c40fdd0b2","STEAMGAMES.COM 4259522985"
"65ca4e6655c04a6c40fdd0e0","WL *Steam Purchase"
"65ca6362e93d90ac3f583fcd","5-CORPORATE EATS 365SECUR"
"65ca6950e93d90ac3f58402f","WEDGE COMMUNITY CO-OP"
"65ca6a38e93d90ac3f584047","5-CORPORATE EATS 365SECUR"
"65ca95f3e93d90ac3f5842b7","SQ *EXPRESS SHOP"
"65cb9cbccb5018d0613957be","BCY*BACKCOUNTRY.COM"
"65cbade446ced1a21736d75d","BREAD & BUTTER 56"
"65cbae2446ced1a21736d795","EAST HAMPTON CRESCENT"
"65cc36cb46ced1a21736e164","PAYPAL *EXPEDIA.COM"
"65ccafcb46ced1a21736eb26","CARIBOU COFFEE CO #1277"
"65ccbd9346ced1a21736eb98","BP#8597536HAN-DEE HUGOS"
"65ccda0a46ced1a21736ec47","EMAGINE EAGAN"
"65cd02e346ced1a21736eedb","SQ *LALALAND TX 888 WE"
"65cd062d46ced1a21736ef14","MONTROSECOLLECTIVEPRKG"
"65cd2c9b6a074e1993cc85a0","NORTHWEST ART AND FRAME"
"65cd2d986a074e1993cc85ce","CUB FOODS #01595"
"65cd47826a074e1993cc8657","WORLD FOOD MART"
"65cd595e6a074e1993cc874a","COSSETTA INC"
"65ce4e1ff540c872f1af3772","MCALISTER'S 101032"
"65ce4e4cf540c872f1af37a6","TRADER JOE S #746"
"65ce52eaf540c872f1af37f1","BREAD & BUTTER 56"
"65ce5459f540c872f1af3827","5-CORPORATE EATS 365SECUR"
"65ce5b23f540c872f1af38d4","TST* SLOWPOKES - RICHMOND"
"65ce675a61a362ed2f28c9cf","DOC BS RESTAURANT MCK"
"65ce681d61a362ed2f28ca05","UNITED PACIFIC 2"
"65ce943561a362ed2f28cad7","PlayStation Network"
"65ce944661a362ed2f28cb05","PLAYSTATION NETWORK"
"65ce958a61a362ed2f28cbb3","MACYS MARKETPLACE"
"65ceb29061a362ed2f28cc25","TST* BRUS PUBLIC HOUSE"
"65cf788561a362ed2f28ce15","TST* ASCENSION COFFEE - C"
"65cf9f2461a362ed2f28ce61","VERNON GRILLE"
"65cfa45c61a362ed2f28ce8e","New Balance Store_US"
"65cfb0e96a916308adc5f73e","DOC BS RESTAURANT MCK"
"65cfce9c6a916308adc5f784","TJ MAXX #1025"
"65cfd5586a916308adc5f7d6","TRAM`S SALON"
"65cff8546a916308adc5f807","TST* THE PARLOR AT HEIGHT"
"65d0bf336a916308adc5fcdf","SQ *YELLOW DOG BREAD C"
"65d0c7e66a916308adc5fd95","SQ *MATTO 58"
"65d0cadd6a916308adc5fdbf","KAPLAN-DEARBORN-PPI"
"65d0d9616a916308adc5fdf1","TRADER JOE S #57 TRADER J"
"65d0ee236a916308adc5fe17","KROGER FUEL #737 11565A S"
"65d0fcae6a916308adc5fe6c","326 CAMBRIDGE ST"
"65d137c36a916308adc5fee7","KOHLS 1470 4190 VINEWOOD"
"65d143546a916308adc5ff33","SP AVIATOR NATION"
"65d1fd1c6a916308adc600ec","THOMPSON TEE"
"65d1fe886a916308adc6011a","SP MACK WELDON"
"65d252556a916308adc603b3","PHILADELPHIA RUNNER"
"65d252cc6a916308adc603d6","PAR*SMOOTHIE KING SK1945"
"65d26d786a916308adc60489","NST THE HOME DEPOT 000531"
"65d2708f6a916308adc604ba","HOUSE OF HOPS"
"65d271786a916308adc604f4","COSTCO WHSE #0377"
"65d37cac6a916308adc60722","PARTY CITY 627"
"65d37f9d6a916308adc6074d","BOB'S DISCOUNT FURNITURE"
"65d39cba6a916308adc607ad","NNT APPLE STORE R05000478"
"65d3b7e66a916308adc607d2","GOODWILL ONALASKA 250"
"65d3c3596a916308adc60813","SI NAT AIR & SPC MUSEU"
"65d3cc6f6a916308adc60861","NST THE HOME DEPOT 001754"
"65d3dd046a916308adc60887","HY-VEE ROBBINSDA HY VEE R"
"65d3dd5d6a916308adc608af","MIU MIU NAIL SPA"
"65d3def16a916308adc608db","HY-VEE ROBBINSDA HY VEE R"
"65d3df236a916308adc60903","FIV*GONG CHA MILLBURN"
"65d434356a916308adc60a38","SHADOWLAND"
"65d4ec0d6a916308adc60baf","BREAD & BUTTER 56"
"65d4eda66a916308adc60be6","PEOPLES ORGANIC CAFE"
"65d51eae93ebf406e812e540","QT 184 OUTSIDE"
"65d5243793ebf406e812e5a3","ODDFELLOWS CAFE AND BA"
"65d55aa893ebf406e812e5d4","WL *Steam Purchase"
"65d5689293ebf406e812e6aa","BP#9268962PENN BP"
"65d56d9493ebf406e812e6ec","LUNDS&BYERLYS DT MPLS"
"65d5f288e2bb97323b94d6fe","Shopbop.com"
"65d63924ed3e8e76df70a46e","7-ELEVEN"
"65d63d63ed3e8e76df70a4be","CHICK-FIL-A #03662"
"65d63ec6ed3e8e76df70a500","HH 95"
"65d64da7ed3e8e76df70a64e","SP CANAAN PALESTINE"
"65d72e6bed3e8e76df70b50d","GOOGLE *TEMPORARY HOLD"
"65d72e70ed3e8e76df70b52d","GOOGLE*TEMPORARY HOLD"
"65d79d19f5318ce55efbbcbe","Queensboro Car Wash"
"65d7c6276ea1b3ccb061f664","TJMAXX #0610"
"65d7efbb6ea1b3ccb061f6a2","UNITED PACIFIC 2"
"65d89d976ea1b3ccb061f91b","UNIVERSITY GAZEL"
"65d89dae6ea1b3ccb061fa22","UNIVERSITY GAZEL"
"65d89e776ea1b3ccb061fc86","UNIVERSITY GAZEL"
"65d8b72870cbd68b831b3c41","TOWN & COUNTRY HARDWARE"
"65d8e8ba66be76c5a9175da6","SMITHS FOOD #434 350 SAND"
"65d939c266be76c5a9175e19","HY-VEE EAGAN 1165"
"65d959b366be76c5a9175e60","CHIPOTLE 2554"
"65da0d1766be76c5a9176114","On Inc"
"65da1dd966be76c5a917614d","BJS.COM #5490"
"65da4af666be76c5a9176254","SP PUBLIC"
"65da652866be76c5a91764a4","Dr Martens Airwair USA LL"
"65da6acc66be76c5a91764d5","COTELAC"
"65db66de66be76c5a9176746","GIRL SCOUTS OF THE UNITED"
"65db712466be76c5a91767ae","BOMBAY CENTRAL - (RALE"
"65db981c66be76c5a9176863","TRADER JOE S #09 TRADER J"
"65db98f766be76c5a917689c","WEBFLOW.COM"
"65dbae8266be76c5a9176906","MARIANA'S 6"
"65dbb78966be76c5a91769ef","10231 - MEATPACKING"
"65dbb79566be76c5a9176a15","10231 - MEATPACKING"
"65dbd31566be76c5a9176a73","SQ *LAZEEZ"
"65dbd98f66be76c5a9176ad5","TURKEY HILL #0140"
"65dbe5ca66be76c5a9176b07","WALLY'S FALAFEL & HUMMUS"
"65dc10aa66be76c5a9176b5e","WWW.ALOSIM.COM"
"65dc52ae66be76c5a9176be0","PANTALOONS FASHION"
"65dca75766be76c5a9176d31","QT 184 INSIDE"
"65dcdbc8106cbc1b47b87851","PEI WEI - 0088 UPTOWNPLAZ"
"65dd04fa205e7f5d904291e6","SMITHS FOOD #434 350 SAND"
"65dd8157205e7f5d904293ed","JOHARI BAZAR BR"
"65dded9a205e7f5d904294a6","SQ *ODDLY CORRECT LLC"
"65ddf5af205e7f5d904294e3","TST* ASCENSION COFFEE - C"
"65e0810b0ca3c023d31eab3a","RARE.ORG/CARBONCOUNTS"
"65e088882492fb06f4b79145","RARE.ORG/CARBONCOUNTS"
"65e08c4a2492fb06f4b81194","GOOGLE *TEMPORARY HOLD"
"65e08ca32492fb06f4b838d5","GOOGLE*TEMPORARY HOLD"
"65e0900183da16405f9b7532","SQ *JUBALA COFFEE"
"65e0904583da16405f9b75a1","SQ *JUST ORGANIC JUICE"
"65e090dd83da16405f9b76b9","RARE.ORG/CARBONCOUNTS"
"65e090e083da16405f9b7713","TIKTOK SHOP"
"65e0910d2492fb06f4b84a34","RARE.ORG/CARBONCOUNTS"
"65e0916983da16405f9b7815","TARGET T-2868"
"65e091f483da16405f9b7909","QT 184 INSIDE"
"65e0923f83da16405f9b7971","LUCKY PIE GALLER"
