ticker,legacyId,companyName,justCapital_metric_Workforce Demographics,justCapital_metric_Health and Safety Policies,justCapital_metric_Local Employment Pipeline,justCapital_metric_Worker Benefits Package,justCapital_metric_Human Rights Reporting,justCapital_metric_Labor & Human Rights Commitment,justCapital_metric_Work-Life Balance,justCapital_metric_Actions to Support Human Rights Commitment,justCapital_metric_Supplier Requirements on Labor & Human Rights,justCapital_metric_Opportunities for Local Businesses,justCapital_metric_Human Rights Supply Chain Safeguards,justCapital_metric_Local School Support,justCapital_metric_Related Party Transactions,justCapital_metric_Board Diversity,justCapital_metric_SEC Filings Review,justCapital_metric_Commitment to Following Laws & Regulations,justCapital_metric_Privacy Policies,justCapital_metric_Sustainable Products and Services,justCapital_metric_Local Community Engagement,justCapital_metric_Scope 1 Plus 2 Greenhouse Gas Emissions,justCapital_metric_Renewable Energy Percentage_0.5,justCapital_metric_Renewable Energy Percentage_1,"justCapital_metric_Diversity, Equity, and Inclusion Policies",justCapital_metric_Transparent Charitable Giving,justCapital_metric_Resource Use,justCapital_metric_Climate Commitments
DKS,10243,Dick's Sporting Goods Inc,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,,1,1,0,1
DISH,10242,DISH Network Corp,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0
DISCA,10241,"Discovery, Inc.",1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,,0,0,0,0
DIS,10240,The Walt Disney Company,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,,0,1,0,1
DHR,10239,Danaher Corporation,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,,1,0,0,1
DHI,10238,DR Horton Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0
DGX,10237,Quest Diagnostics Inc,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,,1,1,0,0
DG,10236,Dollar General Corp,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,,0,1,0,0
DFS,10235,Discover Financial Services Inc,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,,1,1,0,0
DELL,10234,Dell Technologies Inc.,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,,1,0,1,1
DEI,10233,"Douglas Emmett, Inc.",1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,,0,0,0,0
DE,10232,Deere & Company,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,,0,1,1,1
DDOG,10231,DataDog,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,,0,0,0,0
DD,10230,"DuPont De Nemours, Inc.",0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,,0,0,0,1
DCI,10229,Donaldson Co Inc,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,,0,1,0,1
DBX,10228,"Dropbox, Inc.",1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,1
DAL,10227,Delta Air Lines Inc,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,,1,1,0,1
D,10226,"Dominion Energy, Inc.",1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,,1,1,0,1
CW,10224,Curtiss-Wright Corp,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
CVX,10223,Chevron Corporation,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,0,1,0,1
CVS,10222,CVS Health Corporation,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,,1,1,0,1
CVNA,10221,Carvana Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0
CUBE,10220,"CubeSmart, L.P.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
CTXS,10219,"Citrix Systems, Inc,",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,,0,1,0,0
CTVA,10218,"Corteva, Inc.",0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,,1,1,0,1
CTLT,10216,Catalent Inc,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,,0,0,0,1
CTAS,10215,Cintas Corp,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,,0,0,0,1
CSX,10214,CSX Corp,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,,0,0,0,1
CSL,10213,Carlisle Cos Inc,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,,1,0,0,0
CSCO,10211,Cisco Systems Inc,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,,1,1,1,1
CRWD,10210,Crowdstrike,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
CRUS,10209,"Cirrus Logic, Inc.",0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,,0,1,0,0
CRM,10208,"Salesforce.com, inc.",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,1,1,1,0,1
CRI,10206,"Carter's, Inc.",0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1
CR,10204,Crane Co,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,,0,0,0,1
CPT,10203,Camden Property Trust,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,0
CPRT,10202,Copart Inc,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
CPRI,10201,Capri Holdings Limited,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,,0,0,0,1
