ticker,legacyId,companyName,justCapital_metric_Workforce Demographics,justCapital_metric_Health and Safety Policies,justCapital_metric_Local Employment Pipeline,justCapital_metric_Worker Benefits Package,justCapital_metric_Human Rights Reporting,justCapital_metric_Labor & Human Rights Commitment,justCapital_metric_Work-Life Balance,justCapital_metric_Actions to Support Human Rights Commitment,justCapital_metric_Supplier Requirements on Labor & Human Rights,justCapital_metric_Opportunities for Local Businesses,justCapital_metric_Human Rights Supply Chain Safeguards,justCapital_metric_Local School Support,justCapital_metric_Related Party Transactions,justCapital_metric_Board Diversity,justCapital_metric_SEC Filings Review,justCapital_metric_Commitment to Following Laws & Regulations,justCapital_metric_Privacy Policies,justCapital_metric_Sustainable Products and Services,justCapital_metric_Local Community Engagement,justCapital_metric_Scope 1 Plus 2 Greenhouse Gas Emissions,justCapital_metric_Renewable Energy Percentage_0.5,justCapital_metric_Renewable Energy Percentage_1,"justCapital_metric_Diversity, Equity, and Inclusion Policies",justCapital_metric_Transparent Charitable Giving,justCapital_metric_Resource Use,justCapital_metric_Climate Commitments
BAC,10099,Bank of America Corporation,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,1
BA,10098,The Boeing Company,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,,1,1,0,1
AZPN,10097,Aspen Technology Inc,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,0,0,0,0
AZO,10096,"AutoZone, Inc.",0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,0,1,0,0
AYX,10095,"Alteryx, Inc.",0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
AYI,10094,Acuity Brands Inc,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,,0,0,0,1
AXTA,10093,Axalta Coating Systems Ltd,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,,0,0,0,1
AXS,10092,Axis Capital Holdings Ltd,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,,1,1,0,0
AXP,10091,American Express Company,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,,1,1,0,1
AWK,10090,American Water Works Company Inc,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,,1,0,0,1
AWI,10089,Armstrong World Industries Inc,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,1
AVY,10088,Avery Dennison Corp,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,,1,0,0,1
AVTR,10087,"Avantor, Inc.",1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
AVT,10086,Avnet Inc,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,,0,0,0,0
AVLR,10085,Avalara Inc,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,,0,0,0,0
AVGO,10084,Broadcom Ltd,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,,0,0,0,0
AVB,10083,AvalonBay Communities Inc,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,,1,1,0,1
ATVI,10082,"Activision Blizzard, Inc.",0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,0
ATUS,10081,Altice USA Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0
ATR,10080,"AptarGroup, Inc.",0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,,1,1,0,0,1
ATO,10079,Atmos Energy Corp,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,0,1,0,1
ATH,10078,Athene Holding Ltd,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,,0,1,0,0
ASH,10077,Ashland Global Holdings Inc.,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,,0,0,0,1
ARW,10075,Arrow Electronics Inc,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
ARMK,10074,Aramark Holdings,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,,0,0,0,1
ARES,10073,Ares Management Corporation,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,,0,0,0,0
APTV,10072,Aptiv PLC,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,,1,1,1,1
APO,10071,Apollo Global,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,,0,0,0,0
APH,10070,Amphenol Corp,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,,0,0,0,0
APD,10069,Air Products & Chemicals Inc,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,,1,1,0,1
APA,10068,Apache Corp,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,,0,1,0,0
AOS,10067,AO Smith Corp,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,,1,0,0,1
AON,10066,Aon PLC,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,,0,1,0,1
ANTM,10065,"Anthem, Inc",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,0,1
ANSS,10064,ANSYS Inc,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,,0,0,0,0
ANET,10063,Arista Networks Inc,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,,0,0,1,0
AN,10061,AutoNation Inc,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,,0,1,0,0
AMZN,10060,"Amazon.com, Inc",1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,,1,1,0,1
AMT,10058,American Tower Corp,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,,1,0,0,1
AMP,10057,Ameriprise Financial Inc,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,,0,1,0,0
AMH,10056,American Homes 4 Rent,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,,0,0,0,0
AMGN,10055,Amgen Inc,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,,1,1,0,1
AMG,10054,Affiliated Managers Group Inc,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,,0,0,0,1
AMED,10053,Amedisys Inc,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,,0,0,0,0
AME,10052,AMETEK Inc,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,,1,0,0,0
AMD,10051,"Advanced Micro Devices, Inc.",1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,,1,0,0,1
AMCR,10050,Amcor,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,,0,0,1,1
AMAT,10049,Applied Materials Inc,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,,0,0,1,1
AM,10048,Antero Midstream Corporation,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,0,1
ALSN,10046,Allison Transmission Holdings Inc,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
ALLY,10044,Ally Financial Inc,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,,0,1,0,0
ALLE,10043,Allegion PLC,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
ALL,10042,The Allstate Corporation,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,,1,1,0,0
ALK,10040,Alaska Air Group Inc,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,,1,1,0,1
ALGN,10039,Align Technology Inc,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,,0,0,0,0
ALB,10038,Albemarle Corp,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,,1,1,0,0
AL,10037,Air Lease Corp,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1,0,0,0
AKAM,10036,Akamai Technologies Inc,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,,0,0,1,0
AJG,10035,Arthur J. Gallagher & Co,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,,0,0,0,0
AIZ,10034,Assurant Inc,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,,1,0,0,1
AIG,10032,"American International Group, Inc.",1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,,1,0,0,1
AGR,10031,Avangrid Inc,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,,1,1,1,0,1
AGO,10030,Assured Guaranty Ltd,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,,0,1,0,1
AGCO,10028,AGCO Corp,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,,1,1,0,1
AFL,10027,Aflac Incorporated,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,,1,1,0,1
AFG,10026,American Financial Group Inc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0
AES,10025,AES Corp,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,,1,1,0,1
AEP,10024,"American Electric Power Company,",1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,,1,1,0,1
AEE,10023,Ameren Corp,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,,0,1,0,1
ADT,10022,ADT Inc.,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
ADSK,10021,Autodesk Inc,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,,1,0,0,0,1
ADS,10020,Alliance Data Systems Corp,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,,1,1,0,0
ADP,10019,Automatic Data Processing Inc,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,,1,0,0,0
ADM,10018,Archer-Daniels-Midland Company,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,,1,1,0,1
ADI,10017,Analog Devices Inc,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,,1,1,0,1
ADBE,10016,Adobe Inc,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,,1,1,1,1
ACN,10015,Accenture PLC,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1
ACM,10014,AECOM,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,,1,0,0,1
ACHC,10013,Acadia Healthcare Co Inc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,0,0,0,0
ACGL,10012,Arch Capital Group Ltd,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,,0,1,0,0
ACC,10011,American Campus Communities Inc,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,,0,0,0,0
ABT,10009,Abbott Laboratories,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,,1,1,0,1
ABMD,10008,Abiomed Inc,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
ABC,10007,AmerisourceBergen Corp,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,,1,1,1,1
ABBV,10006,AbbVie Inc,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,,0,1,0,1
AXON,10005,"Axon Enterprise, Inc.",0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,,0,0,0,0
AAPL,10004,Apple Inc,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,1
AAP,10003,Advance Auto Parts Inc,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,0
AAL,10002,American Airlines Group Inc,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,,0,0,0,1
A,10001,Agilent Technologies Inc,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,,1,1,0,1
LII,10490,Lennox International Inc,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,,,,,
FAF,10307,First American Financial Corp,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,,,,,
RJF,10703,Raymond James Financial Inc,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,,,,,
EXPD,10303,Expeditors International of Washington Inc,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,,,,,
CRL,10207,Charles River Laboratories International Inc,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,,,,,
NATI,10572,National Instruments Corporation,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,,,,,
NYCB,10609,New York Community Bancorp Inc,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,,,
