_id,kwName,kwUrl,wfUrl,wfName,domainId,score,merchantId,Merchant.MaxRate.Kind,Merchant.MaxRate.Amount,MatchAlgo,Rating,combinedScore(>=8 positive)
621b994b5f87e75f5365b1f5,OLLY PBC,http://olly.com,olly.com,Olly,100800,1.11E-16,100842,PERCENTAGE,1,Sara,positive,14
62def19a7b212526d1e06f69,healthybaby,healthybaby.com,healthybaby.com,healthybaby,99884,5.92E-17,120321,PERCENTAGE,1,Sara,positive,15
621b99305f87e75f5365a241,AutoZone,http://autozone.com,autozone.com,AutoZone,3997324,7.40E-17,5475533,PERCENTAGE,0.8,Sara,negative,-5.5
621b99835f87e75f5365d281,DMOS Collective,http://dmoscollective.com,dmoscollective.com,DMOS Collective,76157,8.98E-17,74860,PERCENTAGE,0.8,Sara,neutral,0
62deef527b212526d1e0454c,Phase eight,https://www.phase-eight.com/,phase-eight.com,Phase Eight,3923258,,72064,PERCENTAGE,0.8,Anushka,neutral,0
621b99945f87e75f5365dcd9,La Sportiva - Apparel,http://sportiva.com,sportiva.com,La Sportiva,75637,1.09E-16,76251,PERCENTAGE,0.8,Sara,neutral,1.5
62deeffc7b212526d1e047be,Tory Burch,https://www.toryburch.co.uk/,toryburch.co.uk,Tory Burch,98428,,99182,PERCENTAGE,0.8,Anushka,neutral,3.5
621b99bd5f87e75f5365f4c1,Vans,https://www.vans.com/,vans.com,Vans,3974622,,5483741,PERCENTAGE,0.8,Anushka,positive,11.5
621b99375f87e75f5365a6b9,Nu Skin Enterprises,http://nse.co,ysense.com,Ysense,77999,0.0159,78000,FLAT,0.5,Sara,neutral,0
62def00f7b212526d1e049a2,Beyond Good,https://www.beyondgood.com/store-locator,beyondgood.com,Beyond Good,107657,,109167,FLAT,0.5,Anushka,neutral,0.5
621b99a65f87e75f5365e6e5,Boox,http://boox.com,shop.boox.com,boox,67965,0.025,71166,PERCENTAGE,0.5,Sara,neutral,1.5
62deeec47b212526d1e030bf,Smile Brilliant,https://www.smilebrilliant.com/,smilebrilliant.com,Smile Brilliant,95831,,96386,PERCENTAGE,0.5,Anushka,neutral,1.5
621b99f35f87e75f53661415,American Girl,https://www.americangirl.com/,americangirl.com,American Girl,3919177,,5475307,PERCENTAGE,0.5,Anushka,neutral,2
62def10e7b212526d1e05b10,Food Lion,https://www.foodlion.com/,foodlion.com,Food Lion,85212,,85662,FLAT,0.5,Anushka,neutral,3.5
62deed8a7b212526d1e014c7,Hanna Andersson,https://www.hannaandersson.com/,hannaandersson.com,Hanna Andersson,3921282,,5478496,PERCENTAGE,0.5,Anushka,neutral,4.5
621b99b55f87e75f5365f025,Rack Room Shoes,https://www.rackroomshoes.com/,rackroomshoes.com,Rack Room Shoes,6960,,36698,PERCENTAGE,0.5,Anushka,neutral,4.5
621b99355f87e75f5365a595,Nordstrom,http://nordstrom.com,nordstrom.com,Nordstrom,1991748,6.83E-17,5482132,PERCENTAGE,0.5,Sara,neutral,7.5
621b99be5f87e75f5365f505,Maytag,https://www.maytag.com/,maytag.com,Maytag,92769,,92807,PERCENTAGE,0.5,Anushka,neutral,7.5
621b99375f87e75f5365a691,Nike,http://nike.com,nike.com,NIKE,3922888,1.11E-16,5480607,PERCENTAGE,0.5,Sara,positive,8.5
621b99365f87e75f5365a5ad,Kohls,http://kohls.com,kohls.com,Kohl's,1991657,1.23E-16,5479397,PERCENTAGE,0.5,Sara,positive,10.5
621b99af5f87e75f5365ecad,momondo,https://www.momondo.com/,momondo.com,Momondo,3922619,,49708,FLAT,0.4125,Anushka,negative,-4.5
62deef9f7b212526d1e045d8,Famous Footwear,https://www.famousfootwear.com/,famousfootwear.com,Famous Footwear,4611652,,5477678,PERCENTAGE,0.4,Anushka,neutral,0
62deeeca7b212526d1e031b2,UGG,https://www.ugg.com/,ugg.com,UGG,4611876,,5483531,PERCENTAGE,0.4,Anushka,neutral,0
62deeec17b212526d1e0307c,Plant Therapy,https://www.planttherapy.com/,planttherapy.com,Plant Therapy,3855341,,5481221,PERCENTAGE,0.4,Anushka,neutral,2
621b995a5f87e75f5365bb05,Beautycounter,http://beautycounter.com,beautycounter.com,Beautycounter,3997347,5.22E-17,5475708,PERCENTAGE,0.4,Sara,positive,15
621b99bd5f87e75f5365f48d,Coach,https://www.coach.com/,coach.com,Coach,37982,,37980,PERCENTAGE,0.25,Anushka,neutral,1.5
62def2b57b212526d1e081d7,DAVIDsTEA,http://www.davidstea.com/,davidstea.com,DAVIDsTEA,58501,,58696,PERCENTAGE,0.25,Anushka,neutral,5.5
621b99305f87e75f5365a251,Best Buy,http://bestbuy.com,bestbuy.com,Best Buy,2189783,1.27E-16,5475784,PERCENTAGE,0.25,Sara,positive,10.5
