companyId,companyName,dataSourceId,dataSourceName,action,expiration,value,isPrimary,primaryReplacementDataSourceId
62def19c7b212526d1e06fb3,Downeast,629bd92027ab53e0fa4e59e4,bCorp_ia_community_ia_community_it_diversity_equity_inclusion,ADD,"April 15, 2023",1,FALSE,
62deef077b212526d1e03c8c,Wholesale Nuts And Dried Fruit,629bd91f27ab53e0fa4e59b7,Plant Based Foods Association,ADD,"April 15, 2023",1,TRUE,
62def19d7b212526d1e06fc4,"HH Logistics Planning, LLC",629bd92027ab53e0fa4e59e4,bCorp_ia_community_ia_community_it_diversity_equity_inclusion,ADD,"April 15, 2023",1,FALSE,
62deeee47b212526d1e0384c,Wholesome Medicinals,629bd91f27ab53e0fa4e59b4,Women Owned Directory,ADD,"April 15, 2023",1,TRUE,
62def12d7b212526d1e060e8,Wholesome Sweeteners,629bd91f27ab53e0fa4e5996,Fairtrade International,ADD,"April 15, 2023",1,TRUE,
62def19e7b212526d1e06ffb,Et Fille Wines,629bd92027ab53e0fa4e59e4,bCorp_ia_community_ia_community_it_diversity_equity_inclusion,ADD,"April 15, 2023",1,FALSE,
62def13e7b212526d1e06403,Wilcox Farms,629bd92027ab53e0fa4e59db,American Humane Certified,ADD,"April 15, 2023",1,TRUE,
62def0f57b212526d1e058b3,Wild & Free Elopements,629bd92027ab53e0fa4e59d8,1% For The Planet,ADD,"April 15, 2023",1,TRUE,
62def0db7b212526d1e05409,Wild Beauty,629bd92027ab53e0fa4e59d8,1% For The Planet,ADD,"April 15, 2023",1,TRUE,
621b99385f87e75f5365a739,Prosperity Bancshares,629bd92427ab53e0fa4e5afe,justCapital_metric_Renewable Energy Percentage_Half,ADD,"April 15, 2023",-1,FALSE,
62deee9d7b212526d1e02925,WILD GRACE,629bd91f27ab53e0fa4e59a2,Leaping Bunny Certified,ADD,"April 15, 2023",1,TRUE,
62def3d67b212526d1e093ce,Wild Minimalist Inc.,62e146a0c8b64b7afd538536,Plastic Pollution Coalition,ADD,"April 15, 2023",1,TRUE,
