"id","name","found"
"10189","Capital One Financial Corporation",true
"10190","Cabot Oil & Gas Corp",true
"10191","Coherent Inc",true
"10192","Americold Realty Trust",true
"10193","Columbia Sportswear Company",true
"10194","CommScope Holding Company, Inc.",true
"10195","The Cooper Companies, Inc.",true
"10196","ConocoPhillips",true
"10197","Costco Wholesale Corp",true
"10198","Coty Inc",true
"10199","Coupa Software Incorporated",true
"10200","Campbell Soup Company",true
"10201","Capri Holdings Limited",true
"10202","Copart Inc",true
"10203","Camden Property Trust",true
"10204","Crane Co",true
"10205","Cree",true
"10206","Carter's, Inc.",true
"10207","Charles River Laboratories International Inc",true
"10208","Salesforce.com, inc.",true
"10209","Cirrus Logic, Inc.",true
"10210","Crowdstrike",true
"10211","Cisco Systems Inc",true
"10212","CoStar Group Inc",true
"10213","Carlisle Cos Inc",true
"10214","CSX Corp",true
"10215","Cintas Corp",true
"10216","Catalent Inc",true
"10217","Cognizant Technology Solutions Corp",true
"10218","Corteva, Inc.",true
"10219","Citrix Systems, Inc,",true
"10220","CubeSmart, L.P.",true
"10221","Carvana Co.",true
"10222","CVS Health Corporation",true
"10223","Chevron Corporation",true
"10224","Curtiss-Wright Corp",true
"10225","Concho Resources Inc.",true
"10226","Dominion Energy, Inc.",true
"10227","Delta Air Lines Inc",true
"10228","Dropbox, Inc.",true
"10229","Donaldson Co Inc",true
"10230","DuPont De Nemours, Inc.",true
"10231","DataDog",true
"10232","Deere & Company",true
"10233","Douglas Emmett, Inc.",true
"10234","Dell Technologies Inc.",true
"10235","Discover Financial Services Inc",true
"10236","Dollar General Corp",true
"10237","Quest Diagnostics Inc",true
"10238","DR Horton Inc",true
"10239","Danaher Corporation",true
"10240","The Walt Disney Company",true
"10241","Discovery, Inc.",true
"10242","DISH Network Corp",true
"10243","Dick's Sporting Goods Inc",true
"10244","Dolby Laboratories Inc",true
"10245","Digital Realty Trust Inc",true
"10246","Dollar Tree Inc",true
"10247","Dunkin' Brands Group Inc",true
"10248","DocuSign Inc",true
"10249","Dover Corp",true
"10250","Dow Inc.",true
"10251","Domino's Pizza Inc",true
"10252","Darden Restaurants Inc",true
"10253","DTE Energy Co",true
"10254","Duke Energy Corporation",true
"10255","DaVita Inc.",true
"10256","Devon Energy Corp",true
"10257","DXC Technology Company",true
"10258","DexCom Inc",true
"10259","Electronic Arts Inc.",true
"10260","GrafTech International Ltd.",true
"10261","eBay Inc",true
"10262","Ecolab Inc",true
"10263","Consolidated Edison, Inc.",true
"10264","Euronet Worldwide, Inc.",true
"10265","Equifax Inc",true
"10266","Encompass Health Corporation",true
"10267","Edison International",true
"10268","The Estee Lauder Companies Inc.",true
"10269","Elanco Animal Health Incorporated",true
"10270","Equity Lifestyle Properties, Inc.",true
"10271","Eastman Chemical Co",true
"10272","Emerson Electric Co",true
"10273","Enphase Energy, Inc.",true
"10274","Energizer Holdings Inc",true
"10275","Entegris, Inc.",true
"10276","EOG Resorces, Inc.",true
"10277","EPAM Systems",true
"10278","Equitable Holdings, Inc.",true
"10279","Equinix Inc",true
"10280","Equity Residential",true
"10281","EQT Corporation",true
"10282","Erie Indemnity Co",true
"10283","Eversource Energy",true
"10284","Element Solutions Inc",true
"10285","Empire State Realty Trust, Inc.",true
"10286","Essex Property Trust Inc",true
"10287","Elastic N.V.",true
"10288","E*TRADE Financial Corporation",true
"10289","Eaton Corp PLC",true
"10290","Entergy Corp",true
"10291","Equitrans Midstream Corporation",true
"10292","Etsy, Inc.",true
"10293","Eaton Vance Corp",true
"10294","Everbridge, Inc.",true
"10295","Evercore Partners Inc",true
"10296","Evergy, Inc.",true
"10297","Edwards Lifesciences Corp",true
"10298","East West Bancorp Inc",true
"10299","Exact Sciences Corp",true
"10300","Exelon Corp",true
"10301","Exelixis Inc",true
"10302","Eagle Materials Inc",true
"10303","Expeditors International of Washington Inc",true
"10304","Expedia Inc",true
"10305","Extra Space Storage Inc",true
"10306","Ford Motor Company",true
"10307","First American Financial Corp",true
"10308","Diamondback Energy Inc",true
"10309","Fastenal Co",true
"10310","Facebook Inc",true
"10311","Fortune Brands Home and Security Inc",true
"10312","FTI Consulting, Inc.",true
"10313","First Citizens Bancshares Inc",true
"10314","Freeport-McMoRan Inc.",true
"10315","Factset Research Systems Inc",true
"10316","FedEx Corp",true
"10317","FirstEnergy Corp.",true
"10318","FireEye Inc",true
"10319","F5 Networks Inc",true
"10320","First Hawaiian Inc",true
"10321","First Horizon National Corp",true
"10322","Fair Isaac Corp",true
"10323","Fidelity National Information Services, Inc.",true
"10324","Fiserv Inc",true
"10325","Fifth Third Bancorp",true
"10326","Five Below, Inc.",true
"10327","FIVE9 INC",true
"10328","Foot Locker Inc",true
"10329","FLIR Systems Inc",true
"10330","Flowers Foods, Inc.",true
"10331","Flowserve Corp",true
"10332","FLEETCOR Technologies, Inc.",true
"10333","FMC Corp",true
"10334","F.N.B. Corporation",true
"10335","Floor & Decor Holdings, Inc.",true
"10336","Fidelity National Financial, Inc.",true
"10337","Fox Corporation",true
"10338","First Republic Bank",true
"10339","First Solar Inc",true
"10340","Fastly",true
"10341","frontdoor, inc.",true
"10342","Fortinet Inc",true
"10343","Fortive Corp",true
"10344","Liberty Media Corporation",true
"10345","Genpact Ltd",true
