action,type,original,companyId,companyName
ADD,MANUAL,Bathandbodyworks,621b99b75f87e75f5365f12d,
ADD,MANUAL,Victorias Secret And C,621b99b75f87e75f5365f135,
ADD,MANUAL,ULTA,621b993b5f87e75f5365a919,
ADD,MANUAL,Peacock Tv LLC,621b99b15f87e75f5365eda5,
ADD,MANUAL,Instant Ink,621b99355f87e75f5365a529,
ADD,MANUAL,T-Mobile,621b993b5f87e75f5365a8a1,
ADD,MANUAL,Disney Mobile,621b99325f87e75f5365a3ad,
ADD,MANUAL,Coach Outlet,621b99bd5f87e75f5365f48d,
ADD,MANUAL,Coach Usa Inc,621b99bd5f87e75f5365f48d,
ADD,MANUAL,Coachoutlet,621b99bd5f87e75f5365f48d,
ADD,MANUAL,Converse Us,621b99b95f87e75f5365f1fd,
ADD,MANUAL,Cos Stores,621b99c15f87e75f5365f6b9,
ADD,MANUAL,Tjmaxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,T.j. Maxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,T J Maxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,Victoria's,621b99b75f87e75f5365f135,
ADD,MANUAL,Domino,621b99325f87e75f5365a3c1,
ADD,MANUAL,Domino's,621b99325f87e75f5365a3c1,
ADD,MANUAL,Foot Locker,621b99345f87e75f5365a489,
ADD,MANUAL,Gap Online,621b99345f87e75f5365a4e5,
ADD,MANUAL,Gap Express C Store,621b99345f87e75f5365a4e5,
ADD,MANUAL,Gap Outlet,621b99345f87e75f5365a4e5,
ADD,MANUAL,Gap Outletcom,621b99345f87e75f5365a4e5,
ADD,MANUAL,Gap Us,621b99345f87e75f5365a4e5,
ADD,MANUAL,Homeaway Reservation Usd Primary,621b99b35f87e75f5365ee95,
ADD,MANUAL,Homeaway Reservation Usd Primary Us,621b99b35f87e75f5365ee95,
ADD,MANUAL,Kiehl's,621b99e75f87e75f53660d35,
ADD,MANUAL,Lululemon Country Club,621b99365f87e75f5365a611,
ADD,MANUAL,Lush Broadway Plaza,62def3d67b212526d1e09430,
ADD,MANUAL,Lush Crabtree Vly,62def3d67b212526d1e09430,
ADD,MANUAL,Lush Online,62def3d67b212526d1e09430,
ADD,MANUAL,Lush The Domain,62def3d67b212526d1e09430,
ADD,MANUAL,Lush Us,62def3d67b212526d1e09430,
ADD,MANUAL,Northface Vf Outdoor,621b99bd5f87e75f5365f4c5,
ADD,MANUAL,Peacock Tv,621b99b15f87e75f5365eda5,
ADD,MANUAL,Peacocktvll,621b99b15f87e75f5365eda5,
ADD,MANUAL,Ultasalonco,621b993b5f87e75f5365a919,
ADD,MANUAL,Pizza Hut,621b99be5f87e75f5365f559,
ADD,MANUAL,Disney Plu,621b99325f87e75f5365a3ad,
ADD,MANUAL,Hellofresh,,
ADD,MANUAL,Dd Doordash Einste,62def1427b212526d1e06483,
ADD,MANUAL,eBay,621b99325f87e75f5365a3e1,
ADD,MANUAL,Double Tree By Hil,621b99b45f87e75f5365ef69,
ADD,MANUAL,UPS,621b993c5f87e75f5365a93d,
ADD,MANUAL,Bathbodyworks,621b99b75f87e75f5365f12d,
