"id","name","score"
"62192d3ff022c9e3fbfe3e81","CenterPoint Energy",-3
"62192d3ff022c9e3fbfe3e85","Chegg",-12.5
"62192d3ff022c9e3fbfe3e89","Choice Hotels International",-10
"62192d3ff022c9e3fbfe3e8d","Capital One",-4.5
"62192d3ff022c9e3fbfe3e91","Church & Dwight Co., Inc.",-1.5
"62192d3ff022c9e3fbfe3e95","CMS Energy",-7.5
"62192d3ff022c9e3fbfe3e99","Columbia Sportswear Company",-9
"62192d3ff022c9e3fbfe3e9d","ConocoPhillips",-1.5
"62192d3ff022c9e3fbfe3ea1","Costco",2.5
"62192d3ff022c9e3fbfe3ea5","Cabot Oil & Gas",0
"62192d3ff022c9e3fbfe3ea9","Coupa Softwarerporated",-12
"62192d3ff022c9e3fbfe3ead","CommScope Holding Company",-8.5
"62192d3ff022c9e3fbfe3eb1","Carter's",-8
"62192d3ff022c9e3fbfe3eb5","Salesforce",5.5
"62192d3ff022c9e3fbfe3eb9","Cisco Systems",6
"62192d3ff022c9e3fbfe3ebd","Capri Holdings",-8.5
"62192d3ff022c9e3fbfe3ec1","Copart",-11
"62192d3ff022c9e3fbfe3ec5","CoStar Group",-12.5
"62192d3ff022c9e3fbfe3ec9","CSX",-8.5
"62192d3ff022c9e3fbfe3ecd","Cognizant Technology Solutions",0
"62192d3ff022c9e3fbfe3ed1","Crowdstrike",-12
"62192d3ff022c9e3fbfe3ed5","Carvana Co.",-14
"62192d3ff022c9e3fbfe3ed9","CVS Health",5
"62192d3ff022c9e3fbfe3edd","Dolby Laboratories",-10.5
"62192d40f022c9e3fbfe3ee1","Cintas",-13.5
"62192d40f022c9e3fbfe3ee5","Concho Resources",0
"62192d40f022c9e3fbfe3ee9","Dominion Energy",-4
"62192d40f022c9e3fbfe3eed","DISH Network",-12
"62192d40f022c9e3fbfe3ef1","DocuSign",-12
"62192d40f022c9e3fbfe3ef5","Chevron",1.5
"62192d40f022c9e3fbfe3ef9","Coty",-10
"62192d40f022c9e3fbfe3efd","Dollar Tree",-8.5
"62192d40f022c9e3fbfe3f01","Discovery",-8.5
"62192d40f022c9e3fbfe3f05","Dick's Sporting Goods",-3
"62192d40f022c9e3fbfe3f09","Darden Restaurants",-7.5
"62192d40f022c9e3fbfe3f0d","Duke Energy",-2.5
"62192d40f022c9e3fbfe3f11","Delta Airlines",1
"62192d40f022c9e3fbfe3f15","Citrix Systems",-4.5
"62192d40f022c9e3fbfe3f19","Domino's Pizza",-11
"62192d40f022c9e3fbfe3f1d","The Walt Disney Company",1
"62192d40f022c9e3fbfe3f21","DataDog",-10.5
"62192d40f022c9e3fbfe3f25","DTE Energy",-3.5
"62192d40f022c9e3fbfe3f29","Dropbox",-9
"62192d40f022c9e3fbfe3f2d","Devon Energy",-7
"62192d40f022c9e3fbfe3f31","Dunkin' Donuts",0
"62192d40f022c9e3fbfe3f35","eBay",-7
"62192d40f022c9e3fbfe3f39","EQT Corporation",-8.5
"62192d40f022c9e3fbfe3f3d","Enphase Energy",-13.5
"62192d40f022c9e3fbfe3f41","Discover",-4.5
"62192d40f022c9e3fbfe3f45","EPAM Systems",-12.5
"62192d40f022c9e3fbfe3f49","Equitable Holdings",-7
"62192d40f022c9e3fbfe3f4d","Dollar General",-7
"62192d40f022c9e3fbfe3f51","Erie Insurance",-13.5
"62192d40f022c9e3fbfe3f55","Dell Technologies",-3.5
"62192d40f022c9e3fbfe3f59","EOG Resorces",-7.5
"62192d40f022c9e3fbfe3f5d","Eversource",-6
"62192d40f022c9e3fbfe3f61","Con Edison",0
"62192d40f022c9e3fbfe3f65","Edison International",0
"62192d40f022c9e3fbfe3f69","Euronet Worldwide",-12
"62192d41f022c9e3fbfe3f6d","Electronic Arts",-3.5
"62192d41f022c9e3fbfe3f71","The Estee Lauder Companies",-3.5
"62192d41f022c9e3fbfe3f75","Elastic N.V.",-9.5
"62192d41f022c9e3fbfe3f79","DXC Technology Company",-6
"62192d41f022c9e3fbfe3f7d","Entergy",-3.5
"62192d41f022c9e3fbfe3f81","East West Bank",-11.5
"62192d41f022c9e3fbfe3f85","Everbridge",-12
"62192d41f022c9e3fbfe3f89","E*TRADE Financial",0
"62192d41f022c9e3fbfe3f8d","Expeditors",-7
"62192d41f022c9e3fbfe3f91","Evergy",-9.5
"62192d41f022c9e3fbfe3f95","Evercore Partners",-13.5
"62192d41f022c9e3fbfe3f99","Equifax",-10.5
"62192d41f022c9e3fbfe3f9d","Eaton Vance",0
"62192d41f022c9e3fbfe3fa1","Etsy",-2.5
"62192d41f022c9e3fbfe3fa5","Diamondback Energy",-8.5
"62192d41f022c9e3fbfe3fa9","First American",-6
"62192d41f022c9e3fbfe3fad","Ford Motor Company",7
"62192d41f022c9e3fbfe3fb1","FTI Consulting",-4
"62192d41f022c9e3fbfe3fb5","FedEx",-3.5
"62192d41f022c9e3fbfe3fb9","Expedia",-10.5
"62192d41f022c9e3fbfe3fbd","First Citizens Bancshares",0
"62192d41f022c9e3fbfe3fc1","F5 Networks",-11
"62192d41f022c9e3fbfe3fc5","FireEye",0
"62192d41f022c9e3fbfe3fc9","First Horizon",-12
"62192d41f022c9e3fbfe3fcd","Five Below",-11
"62192d41f022c9e3fbfe3fd1","Facebook",1
"62192d41f022c9e3fbfe3fd5","Fiserv",-8.5
"62192d41f022c9e3fbfe3fd9","Fastenal Co",-8.5
"62192d41f022c9e3fbfe3fdd","Fifth Third Bancorp",0
"62192d41f022c9e3fbfe3fe1","Exelon",-3
"62192d41f022c9e3fbfe3fe5","FirstEnergy",-3.5
"62192d41f022c9e3fbfe3fe9","Foot Locker",-7.5
"62192d41f022c9e3fbfe3fed","Fidelity National Information Services",0
"62192d41f022c9e3fbfe3ff1","FIVE9 INC",-12.5
"62192d41f022c9e3fbfe3ff5","Fair Isaac",-11.5
"62192d42f022c9e3fbfe3ff9","Factset Research Systems",-7
"62192d42f022c9e3fbfe3ffd","FLEETCOR Technologies",-12
"62192d42f022c9e3fbfe4001","First Hawaiian",-11
"62192d42f022c9e3fbfe4005","F.N.B. Corporation",-6.5
"62192d42f022c9e3fbfe4009","Fortinet",-9.5
"62192d42f022c9e3fbfe400d","First Republic Bank",-10.5
"62192d42f022c9e3fbfe4011","Fox Corporation",-10.5
"62192d42f022c9e3fbfe4015","Fastly",-11.5
"62192d42f022c9e3fbfe4019","Liberty Media",-8.5
"62192d42f022c9e3fbfe401d","frontdoor, inc.",-9.5
"62192d42f022c9e3fbfe4021","GoDaddy",-6.5
"62192d42f022c9e3fbfe4025","Genpact",-6
"62192d42f022c9e3fbfe4029","GCI Liberty",0
"62192d42f022c9e3fbfe402d","Generac Holdings",-11.5
"62192d42f022c9e3fbfe4031","Globus Medical",-12
"62192d42f022c9e3fbfe4035","Graham Holdings Company",0
"62192d42f022c9e3fbfe4039","Corning",-5.5
"62192d42f022c9e3fbfe403d","Global Life",-8.5
"62192d42f022c9e3fbfe4041","Global Payments",-6.5
"62192d42f022c9e3fbfe4045","Alphabet",5.5
"62192d42f022c9e3fbfe4049","Genuine Parts Co",-10
"62192d42f022c9e3fbfe404d","Garmin",-5
"62192d42f022c9e3fbfe4051","Gentex",-11.5
"62192d42f022c9e3fbfe4055","The Gap",0.5
"62192d42f022c9e3fbfe4059","WW Grainger",-5
"62192d42f022c9e3fbfe405d","Gates IndustrialPLC",-6.5
"62192d42f022c9e3fbfe4061","Hasbro",5.5
"62192d42f022c9e3fbfe4065","Guidewire Software",-12.5
"62192d42f022c9e3fbfe4069","GrubHub",0
"62192d42f022c9e3fbfe406d","Hanesbrands",-4
"62192d42f022c9e3fbfe4071","The Hartford",5.5
"62192d42f022c9e3fbfe4075","HD Supply Holdings",0
"62192d42f022c9e3fbfe4079","Hess",-4.5
"62192d42f022c9e3fbfe407d","The Home Depot",0.5
"62192d42f022c9e3fbfe4081","Hyatt Hotels Corporation",-10
"62192d42f022c9e3fbfe4085","HubSpot",-11
"62192d43f022c9e3fbfe4089","HEICO",-12
"62192d43f022c9e3fbfe408d","Interpublic Group",-7
"62192d43f022c9e3fbfe4091","Herbalife",-6.5
"62192d43f022c9e3fbfe4095","Hawaiian Electric Industries",-5
"62192d43f022c9e3fbfe4099","Huntington",0
"62192d43f022c9e3fbfe409d","Iovance Biotherapeutics",0
"62192d43f022c9e3fbfe40a1","Goldman Sachs Group",8
"62192d43f022c9e3fbfe40a5","Harley-Davidson",-4.5
"62192d43f022c9e3fbfe40a9","HollyFrontier",-10.5
"62192d43f022c9e3fbfe40ad","IDACORP",-10
"62192d43f022c9e3fbfe40b1","Intercontinental Exchange",-7
"62192d43f022c9e3fbfe40b5","Interactive Brokers",-12
"62192d43f022c9e3fbfe40b9","Gartner",-3.5
"62192d43f022c9e3fbfe40bd","JB Hunt Transport Services",-11.5
"62192d43f022c9e3fbfe40c1","International Business Machines",3
"62192d43f022c9e3fbfe40c5","Hilton Worldwide Holdings",3.5
"62192d43f022c9e3fbfe40c9","IHS Markit",-5
"62192d43f022c9e3fbfe40cd","HP",9.5
"62192d43f022c9e3fbfe40d1","Inphi Corporation",0
"62192d43f022c9e3fbfe40d5","Invesco",-3.5
"62192d43f022c9e3fbfe40d9","Intuit",2.5
"62192d43f022c9e3fbfe40dd","JetBlue Airways",-8
"62192d43f022c9e3fbfe40e1","Immunomedics",0
"62192d43f022c9e3fbfe40e5","Jefferies Financial Group",-3.5
"62192d43f022c9e3fbfe40e9","IAC/InterActiveCorp",-7
"62192d43f022c9e3fbfe40ed","Hewlett Packard Enterprise Company",5.5
"62192d43f022c9e3fbfe40f1","JPMorgan Chase & Co",4
"62192d43f022c9e3fbfe40f5","H&R Block",-10
"62192d43f022c9e3fbfe40f9","Juniper Networks",-0.5
"62192d43f022c9e3fbfe40fd","Jack Henry & Associates",-5.5
"62192d43f022c9e3fbfe4101","Kirby",-12
"62192d43f022c9e3fbfe4105","KeyBank",-7
"62192d43f022c9e3fbfe4109","KKR",0
"62192d43f022c9e3fbfe410d","John Wiley & Sons",0
"62192d43f022c9e3fbfe4111","Nordstrom",-1.5
"62192d44f022c9e3fbfe4115","Knight-Swift Transportation Holdings",-11
"62192d44f022c9e3fbfe4119","Leidos Holdings",-9
"62192d44f022c9e3fbfe411d","Johnson Controls International",-3.5
"62192d44f022c9e3fbfe4121","Kohls",4.5
