"userId","merchantFrequencies"
"621b99235f87e75f53659b84","[{""company"":""Walmart"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":8},{""company"":""Nike"",""frequency"":1},{""company"":""Best Buy"",""frequency"":2},{""company"":""H&M"",""frequency"":3},{""company"":""Costco"",""frequency"":13},{""company"":""Famous Footwear"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Sephora"",""frequency"":1},{""company"":""BJs Wholesale Club"",""frequency"":1}]"
"621b99235f87e75f53659b88","[{""company"":""CVS Pharmacy"",""frequency"":5},{""company"":""H&M"",""frequency"":1},{""company"":""Nike"",""frequency"":1},{""company"":""BJs Wholesale Club"",""frequency"":5},{""company"":""GrubHub"",""frequency"":1},{""company"":""Costco"",""frequency"":6}]"
"621b99235f87e75f53659b8c","[{""company"":""Hertz Global Holdings Inc."",""frequency"":6},{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":10},{""company"":""Best Buy"",""frequency"":3},{""company"":""Old Navy"",""frequency"":4},{""company"":""Microsoft"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":9},{""company"":""Walmart"",""frequency"":6}]"
"621b99235f87e75f53659b90","[{""company"":""Boll & Branch"",""frequency"":1},{""company"":""Cotopaxi"",""frequency"":1},{""company"":""Kohl's"",""frequency"":3},{""company"":""Under Armour"",""frequency"":1},{""company"":""H&M"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":4},{""company"":""Expedia"",""frequency"":3},{""company"":""Best Buy"",""frequency"":3},{""company"":""AT&T"",""frequency"":7},{""company"":""Sephora"",""frequency"":1},{""company"":""Costco"",""frequency"":63},{""company"":""Food Lion"",""frequency"":5},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Banana Republic"",""frequency"":2},{""company"":""Nordstrom"",""frequency"":1},{""company"":""Hertz Global Holdings Inc."",""frequency"":1},{""company"":""Walmart"",""frequency"":11},{""company"":""CVS Pharmacy"",""frequency"":7},{""company"":""Nike"",""frequency"":1},{""company"":""Lands End"",""frequency"":1},{""company"":""Old Navy"",""frequency"":15},{""company"":""weightwatchers"",""frequency"":35},{""company"":""GoDaddy"",""frequency"":24},{""company"":""Paramount+"",""frequency"":6},{""company"":""Dick's Sporting Goods"",""frequency"":13},{""company"":""Moosejaw"",""frequency"":1},{""company"":""Macy's Inc."",""frequency"":3},{""company"":""Adidas"",""frequency"":9}]"
"621b99235f87e75f53659b94","[{""company"":""Walgreens Co."",""frequency"":17},{""company"":""Thrive Market"",""frequency"":16},{""company"":""Nordstrom"",""frequency"":1},{""company"":""Sephora"",""frequency"":1},{""company"":""Madewell"",""frequency"":1},{""company"":""Dick's Sporting Goods"",""frequency"":4},{""company"":""Expedia"",""frequency"":1},{""company"":""Kohl's"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":6},{""company"":""Best Buy"",""frequency"":1},{""company"":""Stop & Shop"",""frequency"":6},{""company"":""The Tea Spot PBC"",""frequency"":12},{""company"":""Athleta"",""frequency"":6},{""company"":""Banana Republic"",""frequency"":3},{""company"":""Burton"",""frequency"":1},{""company"":""Beauty Pie"",""frequency"":4},{""company"":""Staples"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":22},{""company"":""Macy's Inc."",""frequency"":1},{""company"":""American Eagle Outfitters"",""frequency"":22},{""company"":""Fortify"",""frequency"":2},{""company"":""Famous Footwear"",""frequency"":1},{""company"":""H&M"",""frequency"":1}]"
"621b99235f87e75f53659b98","[{""company"":""Food Lion"",""frequency"":14},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""Microsoft"",""frequency"":1},{""company"":""GrubHub"",""frequency"":34},{""company"":""Best Buy"",""frequency"":2},{""company"":""Paramount+"",""frequency"":1}]"
"621b99235f87e75f53659b9c","[{""company"":""Best Buy"",""frequency"":4},{""company"":""Old Navy"",""frequency"":4},{""company"":""Nike"",""frequency"":2},{""company"":""Walmart"",""frequency"":9},{""company"":""GrubHub"",""frequency"":62},{""company"":""CVS Pharmacy"",""frequency"":7},{""company"":""West Elm"",""frequency"":1},{""company"":""American Eagle Outfitters"",""frequency"":11},{""company"":""Adidas"",""frequency"":3},{""company"":""Dick's Sporting Goods"",""frequency"":2},{""company"":""asos"",""frequency"":2},{""company"":""Expedia"",""frequency"":2},{""company"":""Nordstrom"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":12},{""company"":""Goodee"",""frequency"":1},{""company"":""Costco"",""frequency"":2},{""company"":""Food Lion"",""frequency"":239},{""company"":""Panera Bread"",""frequency"":3}]"
"621b99235f87e75f53659ba4","[{""company"":""The Gap"",""frequency"":4},{""company"":""Old Navy"",""frequency"":10},{""company"":""CVS Pharmacy"",""frequency"":1}]"
"621b99235f87e75f53659bac","[{""company"":""Best Buy"",""frequency"":3},{""company"":""AT&T"",""frequency"":15},{""company"":""Solo Stove"",""frequency"":1},{""company"":""Costco"",""frequency"":26},{""company"":""Office Depot"",""frequency"":1},{""company"":""Kohl's"",""frequency"":1},{""company"":""Giant Food"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":33},{""company"":""Southwest Airlines Co."",""frequency"":1},{""company"":""Expedia"",""frequency"":1},{""company"":""Verizon Communications"",""frequency"":1},{""company"":""Braun"",""frequency"":1},{""company"":""West Elm"",""frequency"":1},{""company"":""Hertz Global Holdings Inc."",""frequency"":1},{""company"":""Lemonade"",""frequency"":15},{""company"":""Walmart"",""frequency"":35},{""company"":""GrubHub"",""frequency"":2},{""company"":""CVS Pharmacy"",""frequency"":5},{""company"":""Staples"",""frequency"":2},{""company"":""Blue Apron"",""frequency"":9}]"
"621b99235f87e75f53659bb4","[{""company"":""Office Depot"",""frequency"":1},{""company"":""Kohl's"",""frequency"":2},{""company"":""Walmart"",""frequency"":68},{""company"":""CVS Pharmacy"",""frequency"":10},{""company"":""Walgreens Co."",""frequency"":5},{""company"":""Expedia"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Best Buy"",""frequency"":1},{""company"":""Costco"",""frequency"":11},{""company"":""Verizon Communications"",""frequency"":2},{""company"":""Macy's Inc."",""frequency"":1}]"
