"companyId","companyName","parentId","parentName"
"62192d3cf022c9e3fbfe3ce9","Axon Enterprise, Inc.",,
"62192d3cf022c9e3fbfe3ced","Advance Auto Parts",,
"62192d3cf022c9e3fbfe3cf1","Akamai",,
"62192d3cf022c9e3fbfe3cf5","American Airlines",,
"62192d3cf022c9e3fbfe3cf9","Adobe",,
"62192d3cf022c9e3fbfe3cfd","Arista Networks, Inc.",,
"62192d3cf022c9e3fbfe3d01","Arthur J. Gallagher & Co",,
"62192d3cf022c9e3fbfe3d05","Avangrid",,
"62192d3cf022c9e3fbfe3d09","Alliance Data Systems",,
"62192d3cf022c9e3fbfe3d0d","Ally Financial",,
"62192d3cf022c9e3fbfe3d11","Assurant",,
"62192d3cf022c9e3fbfe3d15","Arch Capital Group",,
"62192d3cf022c9e3fbfe3d19","Air Lease",,
"62192d3cf022c9e3fbfe3d1d","Accenture",,
"62192d3cf022c9e3fbfe3d21","Autodesk",,
"62192d3cf022c9e3fbfe3d25","Ameren",,
"62192d3cf022c9e3fbfe3d29","Abbott Laboratories",,
"62192d3cf022c9e3fbfe3d2d","ACADIA Pharmaceuticals",,
"62192d3cf022c9e3fbfe3d31","AECOM",,
"62192d3cf022c9e3fbfe3d35","Aflacrporated",,
"62192d3df022c9e3fbfe3d39","ADT",,
"62192d3df022c9e3fbfe3d3d","American Electric Power",,
"62192d3df022c9e3fbfe3d41","AutoNation",,
"62192d3df022c9e3fbfe3d45","Ares Management Corporation",,
"62192d3df022c9e3fbfe3d49","Associated Bank",,
"62192d3df022c9e3fbfe3d4d","Aramark Holdings",,
"62192d3df022c9e3fbfe3d51","Altice USA",,
"62192d3df022c9e3fbfe3d55","Apache",,
"62192d3df022c9e3fbfe3d59","AES",,
"62192d3df022c9e3fbfe3d5d","Allstate",,
"62192d3df022c9e3fbfe3d61","Apple",,
"62192d3df022c9e3fbfe3d65","Anthem",,
"62192d3df022c9e3fbfe3d69","Activision Blizzard",,
"62192d3df022c9e3fbfe3d6d","Automatic Data Processing",,
"62192d3df022c9e3fbfe3d71","Atmos Energy",,
"62192d3df022c9e3fbfe3d75","Alaska Air",,
"62192d3df022c9e3fbfe3d79","AutoZone",,
"62192d3df022c9e3fbfe3d7d","Ameriprise Financial",,
"62192d3df022c9e3fbfe3d81","Amazon",,
"62192d3df022c9e3fbfe3d85","Assured Guaranty",,
"62192d3df022c9e3fbfe3d89","American International Group",,
"62192d3df022c9e3fbfe3d8d","American Express",,
"62192d3df022c9e3fbfe3d91","Alteryx",,
"62192d3df022c9e3fbfe3d95","Avantor",,
"62192d3df022c9e3fbfe3d99","AMG",,
"62192d3df022c9e3fbfe3d9d","BNY Mellon",,
