companyId,companyName,dataSourceId,dataSourceName,action,expiration,value,isPrimary,primaryReplacementDataSourceId
621b99375f87e75f5365a65d,Altria Group,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b993b5f87e75f5365a899,Tiffany & Co.,629bd91f27ab53e0fa4e59ab,Responsible Jewellery Council,UPDATE,,,TRUE,
621b993f5f87e75f5365aadd,Kevue.com,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b99465f87e75f5365af41,LOACOM,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b99495f87e75f5365b0b1,Sun & Swell Foods,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b99495f87e75f5365b0b5,Superior Switchel Company,629bd91f27ab53e0fa4e59b4,Women Owned Directory,UPDATE,,,TRUE,
621b99495f87e75f5365b0bd,"Ever Better, PBC",629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b994a5f87e75f5365b169,Mutu Coffee Roasters,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b994a5f87e75f5365b1bd,Business Performance Improvement,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b994c5f87e75f5365b2a5,Apostrophe,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b994c5f87e75f5365b2c1,KEEL Creative,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b99595f87e75f5365ba19,Inspiring Capital,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b995c5f87e75f5365bbbd,KAMMOK,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b995d5f87e75f5365bc69,LEAP Organics,629bd92027ab53e0fa4e59d8,1% For The Planet,UPDATE,,,TRUE,
621b99695f87e75f5365c3cd,Essity,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996a5f87e75f5365c3d5,Lenzing AG,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996a5f87e75f5365c3dd,Anheuser Busch InBev,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c3e1,ASE Technology Holding Co.,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c3e9,AstraZeneca,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b996a5f87e75f5365c3f9,Bayer AG,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b996a5f87e75f5365c3fd,TETRA PAK,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996a5f87e75f5365c401,Brembo SpA,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c405,Braskem S/A,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c411,Empresas CMPC,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996a5f87e75f5365c415,Formosa Petrochemical,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c419,City Developments,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c41d,Flex,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c421,FIRMENICH SA,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996a5f87e75f5365c425,GEA Group AG,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b996a5f87e75f5365c431,Delta Electronics,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c435,Companhia Energetica Minas Gerais - CEMIG,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c43d,FUJIFILM Holdings,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c441,Givaudan SA,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b996a5f87e75f5365c445,Formosa Chemicals & Fibre,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c455,J Sainsbury,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c459,KAO Corporation,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996a5f87e75f5365c45d,Fujitsu,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996a5f87e75f5365c461,Klabin S/A,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996b5f87e75f5365c465,Kikkoman Corporation,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c469,Kirin Holdings Co Ltd,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c46d,Kubota Corporation,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c471,Komatsu,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c475,Coca-Cola European Partners,629bd91f27ab53e0fa4e5987,A List CDP - Climate Change,UPDATE,,,TRUE,
621b996b5f87e75f5365c479,Mahindra & Mahindra,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c481,FUJI OIL HOLDINGS INC.,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b996b5f87e75f5365c485,Kia Motors,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c489,Marfrig Global Foods S/A,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c48d,Diageo,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c495,Electrolux,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b996b5f87e75f5365c499,Japan Tobacco,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
